,prompt,clip_inter
18,a vintage minimalistic laughing skull with a wide smile warning patch ,"['a patch with a skull and a top hat on it', ' patch design', ' patch logo design', ' patch logo', ' zippered opening in skull', ' mustache and soul patch', ' silicone patch design', ' shoulder patch design', ' skull clown', ' death skull', ' custom', ' full product shot', ' skullish', ' spooky cartoon skull', ' detailed image', ' voodoo hat', ' single aztec skull', ' skull head']"
19,armored combat macaw ,"['a colorful parrot perched on a branch of a tree', ' colorful plumage', ' very colourful', ' parrot', ' ethereal macaw', ' highly colorful', ' vivid colors!', ' vibrantly colored', ' wonderfully colorful', ' beautiful and colorful', ' vivid colors!!', ' blue arara', ' tropical birds', ' colorful birds', ' vibrant vivid colors', ' colorful hd picure', ' vivid vibrant colors', ' vibrant and colorful']"
20,"closeup profile portrait of a tin toy cat dressed as a victorian gent, nicoletta ceccoli, mark ryden, lostfish, max fleischer, hyper realistic, artstation, illustration, digital paint, matte paint, vivid colors, bright, cheerful, detailed and intricate environment ","['a cat wearing a top hat and bow tie', ' cat wearing a top hat', ' mark ryden highly detailed', ' mark ryden in the style of', ' anthropomorphic cat', ' style of mark ryden', ' mark ryden style', ' cat with a hat', ' elegant cat', ' andy catling', ' by Mark Ryden', ' steampunk cat', ' benjamin lacombe']"
21,a man in old - fashioned attire walking waist - deep in an infinite sea of crimson blood. many human corpses floating in the red liquid. pitch black sky. stunning horror painting by richard corben and antoine blanchard ,"['a man standing in a field of red flowers', ' inspired by Arkhip Kuindzhi', ' beksiński', ' artstyle zdzisław beksiński', ' in style of zdzisław beksiński', ' zdzislaw beksiński', ' beksinski masterpiece']"
22,"a painting of 2 d from gorillaz by greg rutkowski, dark fantasy art, high detail, trending on artstation ","['a blurry image of a man with a pink bow on his head', ' 2 d gorillaz', ' avatar image', ' stylized portrait h 1280', ' lofi portrait', ' 2 d concept art head macro shot', ' 2d art', ' 2 d art', ' pouty look :: octane render', ' gorillaz art', ' stylized portrait', ' murdoc niccals']"
23,"minecraft avatar of h. p lovecraft, block photo of author lovecraft ","['a black and white picture of a man with a tie', ' stencil art', ' ascii art', ' hp lovecraft', ' hp lovecraft style', ' julian opie', ' zoomed out portrait of a duke', ' d. b. cooper', ' drawn in a neo - noir style', ' graphic detail', ' h. p. lovecraft', ' fritz lang', ' h. p lovecraft']"
24,"yogsothoth soggoth azathoth, intricate coherence translucent, evil tentacles, long twisted nebula fog - mist galaxy dead eyeballs, random decor of necro blast, psycho colors veins, realistic flavor, twisted sorrow fade soft, award winning photoshoot, wicked lovecraft drip ","['a blurry photo of a bunch of flowers', ' colorful alien flora', ' some background blur', ' neon flowers', ' glowing neon flowers', ' stylistic blur', ' vivid glowing colors', ' blurry background', ' glowing flowers', ' blur background', ' heavy jpeg artifact blurry', ' soft focus blur', ' alien flowers', ' background blur', ' blurry image', ' deblur', ' lsd visuals', ' mutated flowers']"
25,halle berry's face made of berries ,"['a close up of a person wearing a dress', ' halle berry', ' stunning art', ' intense smoldering', ' with high cheekbones', ' inspiring', ' prominent cheekbones', ' smoldering', ' imposing', ' ny', ' big cheekbones', ' stunning image', ' most beautiful woman on earth', ' beautiful face!!!!', ' cheeky!!!', ' beautiful look', ' gorgeous woman', ' stunning photo', ' great likeness', ' inspiration']"
26,"3 d close - up swirly neutron start god moebius strip physics giant gladiola ceramic glass!! betta fish! jellyfish phoenix fire energy flow, highly detailed. by wlop, tooth wu, greg rutkowski, alena aenami, beeple ","['a digital painting of a woman holding an apple', ' digital artwork 4 k', ' digital art 4k', ' digital art 4 k', ' 8k hd wallpaper digital art', ' 4k highly detailed digital art', ' beautiful art uhd 4 k', ' digital art 8k', ' digital art 8 k', ' vibrant digital painting', ' digital art 4k unsettling', ' 4k detailed digital art']"
27,"photo of futuristic cyberpunk geometric diamond subway station tunnel, diamond and black metallic dungeon aesthetic, cinematic lighting, photorealistic, octane render 8 k depth of field 3 d ","['an empty room with a lot of lights on the ceiling', ' dramatic lighting sci fi', ' futuristic environment', ' volumetric lighting futuristic', ' sci - fi interior', ' futuristic laboratory', ' futuristic hall', ' futuristic dramatic lighting', ' futuristic. game cg', ' futuristic lighting', ' inside a futuristic army base', ' sci - fi environment', ' scifi environment', ' futuristic scientific laboratory', ' inside futuristic hangar', ' futuristic setting']"
28,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed artistic digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour based on high quality render. trending on artstation. ","['a painting of some strange plants in a field', ' alien trees', ' inspired by tomasz alen kopera', ' surreal alien kingdom', ' weird alien trees', ' lush alien landscape', ' strange alien forest', ' alien landscape', ' by tomasz alen kopera', ' psychedelic surreal art', ' peter gric and dan mumford', ' alien forest', ' an alien landscape', ' amazing alien landscape', ' psychedelic vegetation']"
29,"scottish landscape inside a steampunk glass jar hanging from a hot air balloon, intricate detail, hyper detailed, ultra realistic, sharp focus, octane render, lantern, volumetric, ray tracing, sense of awe, swirling mist, blue moon, 4 k ","['a lantern with a blue light inside of it', ' graphic of enchanted terrarium', ' inspired by Johfra Bosschart', ' dreamscape in a jar', ' fantasy matte painting，cute', ' fantasy atmospheric lighting', ' beautiful screenshot', ' realistic fantasy render', ' rendered art', ' volumetric lighting. fantasy', ' lantern', ' fantasy 3 d render', ' lamp ( ( ( fish tank ) ) ) )']"
30,a man catching an angry whale on the end of his fishing rod cinematic 3 5 mm hyperrealistic ,"['a man holding a fishing pole while standing on a boat', ' color footage', ' fisherman', ' fishing', ' high resolution film still', ' people angling at the edge', ' 35mm —w 1920 —h 1080', ' video still', ' 1960s color photograph', ' film shot', ' color film still 1 9 7 7', ' color film still']"
31,"photoreal cyberpunk!!! portrait by nicola samori and russ mills, very intricate! worker wearing a black hoody, glittering light leaks, electromagnetic waves!, blue glowing aggressive led eyes, zbrush, greeble skin, octane render, colani design, cyberpunk, dystopia tokyo ","['a close up of a person with makeup on', ' cyberpunk face', ' dystopian digital art', ' hyper-realistic cyberpunk style', ' cyberpunk horror style', ' cyberpunk portrait', ' portrait of an android', ' detailed portrait of a cyborg', ' dystopian sci-fi character', ' symmetrical portrait scifi', ' dark schizophrenia portrait', ' photorealistic dark concept art', ' cyberpunk digital painting', ' dark but detailed digital art']"
32,"cute fluffy kitten panda bunny hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of peacock feathers and flowers, detailed painting, three quarter profile view, renaissance, 4 k ","['a cat with a flower crown on its head', ' adorable digital painting', ' cute detailed digital art', ' cute digital art', ' furry art', ' cute detailed artwork', ' furry fantasy art', ' very very beautiful furry art', ' furry digital art', ' anthropomorphic cat', ' furry artist', ' fleurfurr', ' digital art animal photo', ' furry art!!!', ' cute artwork', ' ghibli tom bagshaw']"
33,landscape of nantes in france oil painting ,"['a painting of a bridge over a river', ' zdzislaw oil on canvas', ' 1 9 2 7 oil on canvas', ' inspired by Alfred Sisley', ' by Hans Fischer', ' by Karel Štěch', ' by Alfons von Czibulka', ' by Adolf Born', ' by Gérard Ernest Schneider', ' by József Koszta']"
34,"a drawing by gustave dore of a deep sea crinoid. etching, lithograph ","['a black and white drawing of an octopus', ' etched relief', ' long wispy tentacles', ' flowing tendrils', ' ornate tentacles growing around', ' highly detailed etching', ' tendrils', ' tentacles', ' many tentacles', ' an etching', ' spiky tentacles', ' sinuous fine roots', ' cthulhu', ' lichtenberg figure', ' etching', ' tentacles in universe', ' covered with tentacles']"
35,"a female demon reaper with a dark purple dress with extrem anger is standing in beautiful moonshine im front of a bloody hell, wlop 4 k, realistic concept art by aleksandra waliszewska, aoi ogata, greg rutkowski and nona limmen ","['a woman in a purple dress holding a sword', ' dark fantasy style art', ' dark fantasy concept art', ' dark fantasy character design', ' dark sorceress full view', ' dark cloaked necromancer', ' in style of dark fantasy art', ' senior concept artist', ' epic exquisite character art', ' dark elf maiden', ' female necromancer', ' dark fantasy illustration', ' dark fantasy style']"
36,"the essence of the chemical element hydrogen, by m. c. escher ","['a black and white drawing of a maze', ' mc escher style', ' escher++', ' mc escher illustration', ' inspired by M. C. Escher', ' inspired by M.C. Escher', ' inspired by MC Escher', ' escher mc', ' escher style', ' mc escher architecture', ' mc escher!!', ' mc escher tesselation']"
37,"a green tree frog made of jello, shiny, glowing eyes, octane render ","['a green frog with red eyes sitting on a table', ' frog', ' cute frog', ' frog perspective', ' beautiful frog', ' froggy', ' the wednesday frog', ' alien frog', ' portrait of a frog', ' frogs', ' frog themed', ' rendered illustration', ' artistic render', ' cute 3 d render', ' closeup portrait shot', ' depicted as a 3 d render', ' raytraced render', ' raytraced realistic', ' miniature frog']"
38,"low poly, pixar, un surreal hybrid animals, nostalgia for a fairytale, magic realism, flowerpunk, mysterious vivid colors by andy kehoe and amanda clarke en un mundo de gediminas pranckevicius, zdzisław beksinski y lisa frank ","['a purple horse standing in a field of flowers', ' beeple and jeremiah ketner', ' jen bartel', ' super detailed color lowpoly art', ' field of fantasy flowers', ' floral environment', ' beeple and james jean', ' dreamy psychedelic anime', ' colorful concept art', ' lost in a dreamy fairy landscape', ' overgrown with shiny blobs', ' dreamlike digital painting']"
39,dreams by dali and atey ghailan ,"['a couple of women sitting on top of a bed', ' cyril rolando and goro fujita', ' atey ghailan 8 k', ' digital art #oneshotgame', ' inspired by Cyril Rolando', ' in style of cyril rolando', ' in style of atey ghailan', ' sergey kolesov concept art', ' inspired by Atey Ghailan', ' by Atey Ghailan']"
40,"spider made of labradorite, fantasy, highly detailed, digital matte painting, artstation, concept art, sharp focus, illustration ","['a large spider with a blue and green orb on its back', ' steampunk spider', ' spider', ' fear of spiders', ' spiders!!!!', ' highly detailed barlowe 8 k', ' lolth', ' spiders', ' arachnid', ' spider legs large', ' big spider', ' giant spider', ' arachne', ' giger spider joker', ' arachnophobia', ' half human half spider', ' by Esao Andrews']"
41,"sukuna from jujutsu kaisen, highly detailed, digital painting, fantasy, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","['a man in a black robe holding a red light', ' badass anime 8 k', ' madara uchiha', ' sasuke uchiha', ' with red glowing eyes', ' akatsuki akira', ' pain from naruto', ' itatchi uchiha', ' itachi uchiha', ' with glowing red eyes', ' joker as naruto', ' hinata hyuga', ' yasuke 5 0 0 px models']"
42,"a painting of a landscape with a red sky with a black rising moon, poster art by noah bradley, peter mohrbacher, behance contest winner, symbolism, darksynth, poster art, apocalypse art, hellish background ","['a man standing on top of a mountain looking at the sun', ' artgem and beeple masterpiece', ' beeple and tim hildebrandt', ' inspired by Christopher Balaskas', ' beeple artwork', ' by Christopher Balaskas', ' beeple and greg rutkowski', ' beeple art', ' beeple and jean giraud']"
43,"portrait of beautiful long haired fluffy white tabby striped wolf profile view with flowing fur blowing in the wind, wearing renaissance robes with lace collar and headdress with tribal peacock feathers and flowers, detailed painting 4 k ","['a white dog with a bandana on its head', ' a white wolf', ' very very beautiful furry art', ' white wolf', ' a painting of white silver', ' digital art animal photo', ' detailed intricate fur', ' 3 0', ' an anthropomorphic wolf', ' anthropomorphic wolf', ' persian folklore illustration', ' portrait shot', ' furry digital art', ' samoyed dog', ' dramatic cinematic detailed fur']"
44,"cosmic horror cute fluffy grey tabby border collie and tan lop eared bunny rabbit hybrid mixed creature concept, with long flowing fur, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k lovecraft!! dark omnious atmosphere tentacles!! ","['a painting of a rabbit with long hair', ' anthropomorphic rabbit', ' cute anthropomorphic bunny', ' furry fantasy art', ' surreal hybrid animals', ' rabbit warrior', ' beeple and jeremiah ketner', ' mythical whimsical creatures', ' cyborg jackalope cyberpunk', ' award winning creature portrait', ' bunnypunk', ' ghibli tom bagshaw', ' the white rabbit', ' rabbit', ' exquisite creature poster art']"
45,"a giant rock floating in the air, magical levitation, vegetation overgrowth, matte painting, cinematic, artstation, painted by craig mullins and albert bierstadt ","['a man standing on top of a lush green hillside', ' andreas rocha and john howe', ' epic dreamlike fantasy landscape', ' andreas rocha style', ' impressive fantasy landscape', ' paul lehr and beeple', ' fantasy digital painting', ' 4k fantasy art', ' fantasy art landscape', ' high fantasy landscape', ' detailed matte fantasy painting', ' detailed fantasy digital art', ' painted by andreas rocha']"
46,"the mad hatter from alice in wonderland at the dark carnival in hell, crazy, psychopathic, highly detailed, artstation, intricate, smooth, sharp focus, dark, horror, illustration, art by greg rutkowski and yuumei, good clear quality, lighting, biology, symmetrical artwork, perfect face, 1 3 5 mm, cinematic, hyper realism, high detail, octane","['a drawing of a man with a top hat', ' the mad hatter', ' the madhatter', ' mad hatter', ' grim-hatter', ' the rad hatter', ' johnny depp portrait', ' in style of tim burton', ' tim burton comic book art', ' epic pencil illustration', ' lee bermejo', ' inspired by Sir John Tenniel', ' sketch art', ' portrait of johnny depp']"
47,oil painting by delacroix of a horse not at all frightened by a thunderstorm. ,"['a painting of a horse running in a field', ' by John Frederick Herring', ' Sr.', ' by John Frederick Herring', ' Jr.', ' inspired by John Frederick Herring', ' Sr.', ' inspired by John Frederick Herring', ' Jr.', ' the portrait of an elegant', ' by George Stubbs', ' inspired by Jacques-Laurent Agasse', ' jacques - laurent agasse', ' inspired by George Stubbs']"
48,"[ [ art deco ] ] 1 9 2 0 metropolis art deco architecture fantasy by jama jurabaev greg rutkowski tyler edlin, james paick, emmanuel shiru, victor mosquera, intricate elegant retrofuturistic highly detailed, artstation [ cyberpunk ] ","['a futuristic city in the middle of a foggy sky', ' in fantasy sci - fi city', ' sci - fi city', ' futuristic dystopian city', ' ancient sci - fi city', ' sci fi city', ' otherwordly futuristic city', ' busy cyberpunk metropolis', ' aerial view of a cyberpunk city', ' science fiction city', ' wlop. scifi', ' dirty cyberpunk city', ' dire cyberpunk city', ' futuristic cyberpunk city']"
49,"translucent cute pokemon like pet with cute eyes, dark colors smoke spiritual fantasy digital art by artgem, studio ghibli, clean cel - shaded vector art, style artstation, style greg rutkowski, octane render, unreal engine 6, epic game graphics, fantasy, conceptual art, ray tracing ","['a group of pokemons with glowing eyes', ' style of cute pokemon', ' new pokemon', ' conceptual mystery pokemon', ' weird pokemon', ' illustration pokemon', ' style of pokemon', ' mystery pokemon', ' glowing sprites', ' pokemon art style', ' the fox-like evolution pokemon', ' pokemon anime style', ' earth type pokemon', ' cute cyber gods', ' cute mouse pokemon', ' water sprites', ' adorable glowing creature', ' pokemon']"
50,happy male chubby strawberry blonde viking with short hair dancing around in meadow holding a bunch of flowers in the style of rutkowski ,"['a man is throwing a frisbee in a field', ' field - blur', ' blurry image', ' deblurring', ' photo blurring', ' beautiful surroundings', ' slightly out of focus', ' blurry photography', ' blurred photo', ' deblur', ' blurry photo', ' unblur', ' very shallow depth of field', ' not blurry', ' slightly blurred', ' severe out of focus', ' blurry', ' heavy jpeg artifact blurry']"
51,"girl stands in a japanese street - poster by wlop, kiyohara tama, krenz cushart, masamune shirow, makoto shinkai, yanjun cheng. featured on pixiv, anime aesthetic, pixiv, anime, cold tones, artstation, power lines, vanitas, official art, gothic dark. noise film photo - up portrait h 7 0 4","['a woman in a white dress is walking down a street', ' anime poster film still portrait', ' anime still film anime shikishi', ' in style of makoto shinkai', ' ( ( makoto shinkai ) )', ' makoto shinkai!!', ' makoto shinkai. digital render', ' makoto shinkai!', ' makoto shinkai style', ' makoto shinkai art style']"
52,simple yellow hexagon beehive tattoo ,"['a woman with a yellow and black umbrella tattoo on her arm', ' geometric tattoos', ' half life logo on chest', ' tattoos of star wars symbols', ' tattoo on shoulder', ' shoulder tattoo', ' by Stefan Gierowski', ' surreal black and yellow', ' geometrically realistic', ' by Justin Sweet', ' tattoo on upper arm', ' by Nathan Oliveira', ' by Samuel Silva', ' black and yellow colors']"
53,"a man playing an invisible cello to destroy demons, demons surround the man, spiritual emanations, resonating sound energy, roses, rain, cafe setting, beautiful classical ornament, framed, tarot card, immense landscape, alpay efe, wlop, alessio albi ","['a man standing in front of a painting of roses', ' dramatic artwork', ' photomanipulation', ' mixed media photography', ' romanticism artwork', ' emotional surrealist art', ' surreal composition', ' surreal art', ' surreal glimpse', ' surrealist conceptual art', ' hauntingly surreal', ' inspired by Igor Morski', ' surrealist photography', ' album art', ' surreal collage', ' surreal photo']"
54,"animation still frame of a puppy eating a bowl of spaghetti, high angle closeup portrait, blurry background of the library, disney, pixar, bloom, medium shot, dramatic lighting, in the style of studio ghibli, j. c. leyendecker, greg rutkowski, artgerm ","['a dog is eating spaghetti out of a bowl', ' anthropomorphic dog eating', ' adorable digital painting', ' eating spaghetti', ' slurping spaghetti', ' eating spaghetti from a bowl', ' ultrarealistic illustration', ' spaghetti', "" mom's spaghetti he's nervous"", ' cute detailed digital art', ' ultra realistic illustration', ' cute 3 d render', ' realistic illustration', ' eating noodles', ' photorealistic illustration', ' hyperrealistic illustration']"
55,"milhouse van houten, hyperrealistic, volumetric golden dappled dynamic lighting, highly detailed, sharp focus, by victo ngai, artgerm ","['a man with glasses and a yellow shirt', ' nft portrait', ' digital illustration portrait', ' digital portrait', ' stylized portrait', ' drawn with photoshop', ' digital illustration', ' digitalportrait', ' cartoon portrait', ' 2d portrait', ' high quality portrait', ' realistic self portrait', ' digital art portrait', ' ai self portrait', ' character portrait of me', ' stylized portrait h 640']"
56,manmadetexture pbr materials procedural tile patern substance photo game cg textures. com gametextures studio resource image handpaint ,"['a series of four pictures of a stone wall', ' dystopian floor tile texture', ' hand painted textures', ' ancient stone tiling', ' tiling texture', ' stylized stone cladding texture', ' pearly flagstones', ' flagstones', ' painted texture maps', ' floor texture', ' stone floor', ' stylised hand painted textures', ' stylised textures', ' highly detailed texture', ' stone texture', ' high quality textures']"
57,"jaden smith symmetric portrait as egyptian, front view, white tunic, meadow background, highly detailed, sharp focus, illustration, art by aleksi briclot, magali villeneuve, greg rutkowski, alfons mucha ","['a painting of a young man in a field', ' portrait of willow smith', ' inspired by Thomas Blackshear', ' portrait willow smith', ' maximus jacobs', ' will smith portrait', ' from kehinde wiley', ' high quality portrait', ' portrait of ultra realistic', ' inspired by Dino Valls', ' in style of tyler mitchell', ' realism art', ' by Barkley Hendricks', ' kehinde wiley']"
58,"portrait of a confident and mature looking northern blond lady in black bdsm leather mask, beautiful blue eyes and red lips, fit abs and body, art by artgerm and greg rutkowski and magali villeneuve, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, masterpiece ","['a woman dressed in a black leather outfit', ' artgerm julie bell beeple', ' wlop and artgerm', ' alena aenami and artgerm', ' portrait of a cyborg queen', ' artgerm style', ' artgerm and warren louw', ' artgerm and grek rutkowski', ' artgerm greg rutkowski _ greg', ' artgerm art']"
59,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour based on high quality render. ray tracing. beams. ","['a painting of a desert with trees and rocks', ' amazing alien landscape', ' alien landscape', ' an alien landscape', ' beautiful alien landscape', ' stunning alien landscape', ' surreal alien kingdom', ' turbulent alien vivid landscape', ' alien breathtaking landscape', ' an alien landscape view', ' lush alien landscape', ' inspired by tomasz alen kopera', ' strange alien forest', ' alien desert', ' alien environment']"
60,self - portrait in the park ; giovanni boldini ; impressionism ; 1 9 2 1 ,"['a painting of a man sitting on a bench', ' felix vallotton', ' by Leonid Pasternak', ' valentin serov style', ' by Károly Ferenczy', ' by Ramon Casas i Carbó', ' self - portrait', ' self-portrait', ' inspired by Leonid Pasternak', ' by Gustave Caillebotte']"
