,prompt,open_clip
36,"dynamic powerful portrait, imogen poots as battle paladin divinity, close - up shot greg manchess matte painting by sargent and leyendecker, pastel colours, vaporwave, battle academia, sharp focus, intricate details, fanart artstation by entei ryu and follygon and jesper ejsing and rhads and lois van baarle and ilya kuvshinov ",a painting of a woman holding a bow and arrow . 
37,closeup photo of a porsche 9 1 1 ,a close - up view of the headlight of a car . 
38,"2 d character design, music executive, vector art, digital art, portrait, 4 k, 8 k, sharp focus, smooth, illustration, concept art ",a man sitting on top of a drum set holding a guitar . 
39,"concept art of giant ogres, lovecraftian, divers helmet, lots of teeth, melting horror, round moon, rich clouds, fighting the horrors of the unknown, mirrors, very detailed, volumetric light, mist, grim, fine art, decaying, textured oil over canvas, epic fantasy art, very colorful, ornate, anato finnstark ",a painting of a man and a bunch of monsters . 
40,"a portrait of a snake as a beautiful animal wearing a kimono from skyrim, by stanley artgerm lau, wlop, rossdraws, james jean, andrei riabovitchev, marc simonetti, and sakimichan, trending on artstation ",a painting of a woman with a snake on her neck . 
41,"a cool and muscular male refugee of legends character, shabby clothes, bag, shelter background, symmetrical, maximalist, cg animation, riot enterainment, arcane, realistic, hyper detailed, masterpiece character select portrait, by artgerm, anna dittmann, ilya kuvshinov, loish, drew struzan, charlie bowater, 3 d ",a blurry picture of a man with no shirt . 
42,"symmetry!! a levitating house in a surreal fantasy landscape, portrait, perfect composition, perfect lighting, 4 k, derek zabrocki, greg rutkowski, artgerm ",an image of an abstract background 
43,"photo cartoon illustration comics manga painting of portenvironement : 6 fantasy environement, digital painting, unreal engine, 8 k, volumetric lighting, contrast by john kirby by carl warner and jim woodring, trending on artstation ",an illustration of a cave with a fire in it . 
44,"workshop!!!!!!!, hangar, mickey mouse head, automaton, mechanical claw, soldiers dressed in red, style of beeple, grime, hazy, light, netflix logo on wall, machinery, dystopian, concept art, artstation, red, cyan ",an animated scene of a man and a robot . 
45,"biohazard portrait of frightened!! red dress young woman, blodied, emerald necklace!! au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",a woman in a red dress holding a microphone . 
46,"cinematic, filmic, wildlife photography, x - ray, ray tracing reflections, insanely detailed and intricate, hypermaximalist, elegant, ornate, hyper realistic, super detailed, toucan, lake with hexagonal pylons ",a bird sitting on top of a tree branch . 
47,"a gauguinesque, impressionist oil painting of a potted fruit and apples on a table by alexej von jawlensky, flickr contest winner, fauvism, fauvism, picasso, painterly ",an oil painting of a bowl of apples on a table . 
48,"beautiful european princess in tai chi pose, red long hair, practical armor, shiny white skin, demonic eyes, low fantasy, extremely detailed, sharp focus, smooth, digital illustration, by rossdraws, frank franzzeta, sakimichan ",a painting of a woman with long red hair . 
49,"photo cartoon illustration comics manga painting of sci - fi workshop : 6 sci - fi, fantasy, digital painting, unreal engine, 8 k, volumetric lighting, contrast ",an artistic painting of a city with a moon in the background . 
50,a photo of a turkey head on a giraffe body ,a close - up of the head and neck of a giraffe . 
51,elizabeth olsen as scarlet witch wearing a scarlet witch crown made of flesh comic!!! illustrated by jason aaron trending on artstation 4 k 3 2 k still cinematic magical powerful red color scheme beautiful good evil intricate detailed ,a painting of a woman wearing a red outfit . 
52,"full body portrait of a beautiful woman, long hair, with a choker necklace, gold crystal roses in the background, opal colors, volumetric light, fantasy, intricate, sharp focus, lens flare, bloom, rim light, illustration, highly detailed, digital painting, concept art, matte, art by ruan jia ",a beautiful woman with long hair and a rose in her hair . 
53,not ,a group of people standing in front of each other . 
54,"handsome demon, highly detailed, digital painting, fantasy, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski ",an image of an evil looking dragon with glowing eyes . 
55,"portrait of a beautiful woman with horns, large piercing blue eyes, long wavy black hair, long black dress with silver jewels, black bat wings on back, detailed background ",an illustration of a woman with horns on her head . 
56,"a painting of roronoa zoro by kentaro miura, black and white, inking art, high detail, trending on artstation ",a drawing of a man holding two swords . 
57,mushrooms growing through a human skull in the woods ,there is a skull with a hat on it . 
58,"photo of a cat with covid, terrible cold and runny nose and watery eyes, lots of snot and fluids all over, bleh,, sick and unwell ",a white cat sitting on top of a pink couch . 
59,"photo cartoon illustration comics manga painting of small sci - fi junkshop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, fantasy, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, contrast ",an artist 's rendering of an old - timey shop . 
60,"cute miss mascot ma © tamorph ma © tamorph ditto super hero sticker art, cronobreaker, beeple game icon ",a sticker of a blue and red character . 
61,"a rusty shipwreck at the bottom of a prehistoric jungle cave, lush flora, waterfall, mountains, flowers, vines, sunset, hazy, volumetric lighting, rtx on, washed out dark colors, an award - winning digital render, beautiful, stunning, ultradetailed, great composition ( by kim jung gi ) ( by george morikawa ) ( by kentaro miura ) ( by ei",a painting of a cave with plants and rocks . 
62,"painting of futuristic intricate quant robot intricate impulsing circuits, glittering light leaks, organic electromagnetic waves, blue glowing led eyes, wearing a very intricate mask by feng zhu and goggles, octane render, trending on artstation, dystopia tokyo by dean ellis ",a close - up of the head of a robot . 
63,"realistic portrait beautiful painting of africa owl, normal bird feathers, wearing glasses. full body, fine art, trending on artstation, smooth draw, sharp focus, digital art, bright colors, fine draw, perfect lighting, high render, high resolution. ",an owl wearing a pair of glasses and a hat . 
64,oil painting by watteau of a highland cow and a llama. ,a painting of two long horned animals in a field . 
65,art by camille rose garcia ,a painting of a woman with a yellow jacket on . 
66,the dota 3 logo ,a picture of the logo for a video game . 
67,a portrait painting of frances vannoy ,a painting of a woman in a black and white dress . 
68,"a cute cartoon giraffe toy wearing ballet skirt, dancing by the river, unreal engine, 4 k ",a giraffe is balancing on one leg while holding a balloon . 
69,"the flag of mississippi features a white magnolia blossom surrounded by the words in god we trust and 2 1 stars, on a red field with a gold - bordered blue canadian pale. ",a close - up view of a canadian and american flag . 
70,"beautiful city of the future, overgrown with trees and plants. sinuous volumetric happy the patch, nice colour scheme, warm colour. beautiful artistic digital artwork by artist lurid. ( 2 0 2 2 ), gediminas pranckevicius ",a painting of a field of grass and trees . 
71,"time travel, diamond th land of gem, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",an image of an island in the middle of the ocean . 
72,"symmetry!! cancer!!!! a distorted girl screams. detailed analogue mixed media collage with canvas texture in the style of contemporary art complex, dramatic lighting, intricate, highly detailed, sharp focus, luminous ",a woman 's face is depicted in a mosaic . 
73,"a portrait of emily blunt cultist of yog sothoth golden bangles arcane and ultrafine detailed painting, detailed painting, detailed eyes, final fantasy lovecraft ghibly dark ominous atmosphere ",a painting of a woman 's face with chains around her head . 
74,hybrid of brick and spider ,a black and blue spider hanging on a brick wall . 
75,"ultra realistic portrait painting of jim cornette, head only, art by frank frazetta, 4 k, ultra realistic, highly detailed, epic lighting, manly ",a painting of a man with long black hair . 
76,"beautiful lion with long flowing mane and peacock feathers and golden crown on head, detailed magical realism painting 4 k ",a painting of a lion wearing a crown . 
77,"cute fluffy baby cat snow leopard lion cheetah hybrid mixed creature character concept, with long flowing mane blowing in the wind, long peacock feather tail, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a painting of a leopard with feathers on it 's head . 
78,"digital portrait of bowser as a pretty blonde woman wearing a daring black dress with his spiky shell, horns and fangs ",a woman with horns on her head . 
79,joe biden sniffing joe biden ,a blurry picture of a man wearing a mask . 
80,one single pencil ,two colored pencils on top of a gray surface . 
81,saul goodman beer ,there is a man sitting at a bar with four beers . 
82,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour painting based on high quality render. trending on artstation. ",an image of an image that is blurry . 
83,"astronaut walking on the moon, concept art, digital illustration, digital painting, game art, visual novel, cinematic lighting, highly detailed ",two astronauts on the surface of the moon . 
84,"graduation to all, photorealistic by michael komarck, greg rutkowski, victo ngai, artgerm, willem claesz heda and j. dickenson ",a young man in a cap and gown throwing his arms in the air . 
85,domestic cat in flight wild rift hero champions arcane magic digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm style pascal blanche and magali villeneuve mage fighter assassin ,a painting of two cats with glowing blue eyes . 
86,"magic lake, beautiful landscape, environment, colors, cinematic, highly detailed, large scale, realistic lighting, octane render, by wlop, artgerm, by vladimir motsar, high quality, trending on artstation, hd, 8 k, clear, sharp ",a painting of a lake with a tree in the background . 
87,"photograph of a stone cairn in scotland, leica summilux 2 4 mm lens, iso 1 0 0, f / 8, portra 4 0 0, award winning ",a pile of rocks sitting in front of a stone wall . 
88,"concept art of dragon attack, lovecraftian, lots of teeth, melting horror, feathers, fighting the horrors of the unknown with laser guns ",an artistic painting of a large dragon with a lot of tentacles on it . 
89,"biohazard portrait of terrified! green ball gown young woman, bloodied, emerald necklace!!! au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",a close up of a person with green hair . 
90,a stained glass window featuring a potato wearing a hat and holding a miter 4 k unreal engine 5 dramatic lighting massive complexity ,a stained glass window of a banana with a hat on it . 
91,realistic calvin and hobbes ,a drawing of a tiger and a tiger cub . 
92,"artistic digital artwork. where am i? epic beautiful scene from a dream with dramatic clouds and ufo by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting colour palette. beautiful light. translucent. detailed oil and water colour based on high quality render. ",an artistic painting of a flying saucer in the sky . 
93,"lemonbrat studios fursuit, fursuiter, photo taken at midwest furfest 2 0 1 6 ",a person in a blue costume with a tongue hanging out . 
94,"blurry and dreamy screencap of a realistic character from 8 0 s horror anime, vampire woman with short hair and wearing dress suit with tie, satoshi kon anime, character design by yoshitaka amano and junji ito, glitchy vhs tape, night tokyo in the background, perfect blue color palette, noisy film grain effect, blurry image ",a woman in a black suit holding an object in her hand . 
95,"a painting by john singer sargent of a deep sea crinoid. etching, lithograph ",an old drawing of a tree with a bunch of roots . 
96,"a knight in armor riding a stick horse with training wheels, high quality digital art trending on artstation ",a painting of a knight on horseback holding a sword . 
97,tim cook driving new apple car ,a man standing in front of a white car . 
98,"la pieta ultrarealistic ultradetailed medium shot painting of slimy catholic veiled transparent bride of frankenstein with skeleton still life, nervous system, steampunk internal organs, greg rutkowski, peter gric, immerse, 1 9 th, special effects makeup, maximalist, glittering, gold, ivory, hyperreal, golden ratio, alphonse mucha ",a skeleton in a gold frame with a white background . 
99,"epic hyperdetailed portrait of 🐙🐘🤖 hiding in the shadows. by greg rutkowski, highly detailed portrait, rococo, digital painting, artstation, concept art, smooth, sharp foccus ilustration, artstation hq. intricate, elegant. art by wlop and artgerm and greg rutkowski and alphonse mucha, masterpiece. misty rainforest ",a man riding a bike through a forest . 
100,a photo of eevee ,an eeveelution looks like an eeveelution . 
101,"hyperrealism, night background, super zoom, goddess close - up portrait real human skeleton ram skull!!!! jellyfish!! phoenix crow wings! giant orchid!! artwork by tooth wu and wlop. octane render, trending on artstation, greg rutkowski cinematic, hyper realism, high detail, octane render, 8 k ",a group of three skulls that are sitting on top of each other . 
102,"photo environement cyberpunk coridor : 4, 4 k rtx hdr volume light concept studio matte painting environement digital illustration style cyberpunk 2 0 7 7 artstation artur tarnowski, mihai muscan, marcin tomalak, marta leydy, marcin stepien, charlotte hughes, zuzanna dabrowa neon bioluminiscence ",a man standing in a room with a bunch of debris on the floor . 
103,"sticker art of a realistic alien camel head with a steampunk astronaut suit with multicolored glowing gears and tubes and cables, crisp, trippy, fluorescent colors, insanely detailed, 3 d render, front shot, 3 5 mm ",a neon sticker of a horned animal head . 
104,"the mr bean wearing a santa costume, christmas themed winter background, lobster claws, santa beard, by greg rutkowski and frank frazetta, intricate, artstation, vibrant, cinematic, style of magic : the gathering ",an image of a man dressed as santa clause . 
105,"amazing ciri from witcher 3 eat 🍑, hyperrealistic, ultradetailed, studio light, 4 k, 8 k, hd ",a blurry picture of a person with a white hair . 
106,of you to be with you and my heart to help me out and help me help for you and your help with my dream and i and i ,a man and a little girl are smiling for the camera . 
107,"a 2 d music studio, design, vector art, digital art, portrait, 4 k, 8 k, sharp focus, smooth, illustration, room, concept art ",a woman sitting at a table with a keyboard . 
108,"head and shoulders portrait of a female engineer, quechua!, scarf, hat, tonalist, symbolist, realistic, chiaroscuro, baroque, detailed, modeled lighting, vignetting, ultramarine blue and yellow ochre, smiling, serpent ",a painting of a woman wearing a yellow scarf . 
109,"frontal portrait of female adult twins in the apocalypse, by tim bradstreet. ",a couple of women that are staring at the camera . 
110,"a militarised vehicle designed by rolls royce, artgerm and alphonse mucha, an epic fantasy, volumetric light, detailed, an epic fantasy, trending on art station, octane render, midsommar ",an image of a car that is made out of metal . 
111,"concept art of evangelion, stylized, highly detailed, environmental light, cinematic, 8 k, 4 k, trending on artstation ",an abstract painting of a rock formation in front of a cloudy sky . 
112,"girl with green curly hair, anime style, fine - face, realistic shaded perfect face, fine details. anime. realistic shaded lighting by ilya kuvshinov katsuhiro otomo ghost - in - the - shell, magali villeneuve, artgerm, jeremy lipkin and michael garmash and rob rey ",a woman with long green hair is looking into the distance . 
113,"a digital painting of a mountain range with a lake in the foreground, a detailed matte painting by claude monet and thomas kinkade and bob ross. paint spatters, paint drips, paint stippling, paint dribble, paint speckling. dry brush and wet brush. rich texture, rich vivid color. ",a painting of a body of water with a mountain in the background . 
114,"ancient golden ( chrome finish ) [ skateboard ], skateboard [ egyptian artifact ], museum exhibition, crowd in background, showcase in focus, detailed, overhead lighting, dimly lit room, 4 0 mm camera phone photo ",a gold skate board is on display in an exhibit . 
115,"lanky young half - orc warrior, cuirass, buzzcut, art by greg rutkowski and magali villeneuve, d & d, fantasy, portrait, highly detailed, headshot, digital painting, trending on artstation, concept art, sharp focus, illustration ",a painting of a man in chains and a belt . 
116,"cute fluffy baby giraffe panda hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a painting of a panda bear wearing a colorful feather headdress . 
117,"vfx color film closeup, huge behemoth monster creature beast by aaron sims, four legs, in residential street, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic beautiful, atmospheric ",a giant bear and a gorilla are fighting . 
118,"machinarium city, fantasy style, super high detail, super high quality, talented artist, trending on artstation ",an artistic rendering of a city with a clock tower . 
119,diatoms ,a group of jellyfish floating on top of a body of water . 
120,"a biomechanical cybertronic frog, large glowing neon bright eyes, futuristic, octane render ",a frog sitting on the ground in front of a red wall . 
121,"grumpy gina carano sitting in a bar, fantasy, concept art, artstation, disney, pixar, dreamworks, anime, tyler edlin, feng zhu, thomas karpi ",a woman and a man sitting at a bar . 
122,"cockatoo alien costume, portrait, highly detailed, starwars, trending on artstation, characterdesign, sharp focus, illustration, digital matte painting, art by greg rutkowski ",a painting of a white bird with red eyes . 
123,"nebula clouds, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and ian fisher and alphonse mucha and james gurney and jean leon gerome, coloreful, highdetailed, drawing, oilpainting ",a painting of a person sitting on a cloud . 
124,"rats in tuxedos drinking champagne in bubbles in the space, contrast, deep focus, turnaround, highly detailed, dramatic lighting, digital painting, artstation, concept art, matte, sharp focus, greg rutkowski, moebius, illustration. ",a person sitting in front of a mirror holding a wine glass . 
125,"the great launch of the water bottle, splashes, courtesy of spacex, vfx, flames, smoke, shot a long distance at cap canaveral ",a rocket is flying through the air with a bunch of smoke coming out of it . 
126,"peaceful, beautiful landscape, environment, no people. colors, film, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, by alena aenami, trending on artstation, hd, 8 k, clear, sharp ",a person is standing in a field with trees in the background . 
127,bill gates playing waterpolo ,an older woman playing water polo in a pool . 
128,blue electric lion in space ,a painting of a blue lion sitting in the middle of the night sky . 
129,"a biomechanical orchid flower made of metal, reflective ",a close up view of a metal sculpture . 
130,"aliens circling a floating brain, ring on border, from above, by greg rutkowski and alphonse mucha ",a painting of a woman 's head with a futuristic helmet on . 
131,"sweeny todd splash art graphic design color splash high contrasting art, fantasy, highly detailed, art by greg rutkowski ",a painting of a woman holding a large knife . 
132,"symmetry!! combination of osama bin laden and barrack obama, portrait, perfect lighting, 4 k, derek zabrocki, greg rutkowski, artgerm ",a painting of a man with a bald head . 
133,"black broken armor and helmet laying in flames chrysanthemum flowers, monumental illustration by gerrit van honthorst and hajime sorayama and edward hopper, illusion surreal art, highly conceptual figurative art, intricate detailed illustration, controversial poster art, polish poster art 1 9 8 0, geometrical drawings, no blur ",a painting of a helmet with flames in the background . 
134,"a forest at night, with vast nocturnal wildlife, by kurzgesagt ",a painting of trees in the forest at night . 
135,"photograph of a stone cairn in scotland, sunset, leica summilux 2 4 mm lens, iso 1 0 0, f / 8, portra 4 0 0, award winning ",a stack of rocks in the middle of a grassy field . 
136,"workshop, mickey mouse head, automaton, mechanical claw, soldiers dressed in red, style of beeple, hazy, light, netflix logo on wall, machinery, dystopian, concept art, artstation, red, cyan ",an animated scene of a mouse with a helmet on . 
137,"lady gaga by nick knight, vogue magazine, award winning, photoshoot, dramatic,, cooke anamorphic / i lenses, highly detailed, cinematic lighting ",two women with white hair and a snake necklace . 
138,joan of arc at the club ,an illustration of a woman holding a staff . 
139,"a photograph of a futuristic street scene, brutalist style, straight edges, finely detailed oil painting, impasto brush strokes, soft light, 8 k, dramatic composition, dramatic lighting, sharp focus, octane render, masterpiece, by adrian ghenie and jenny saville and zhang jingna ",a painting of people walking down a street in front of tall buildings . 
140,"super mario by rembrandt, intricate, ultra detailed painting, atmospheric lighting, golden hour ",a painting of a cartoon character flying through the air . 
141,"a mechanical planet, in the background of a space war of spaceships and many exploding details, steampunk, clockpunk, bibliopunk ",an artistic rendering of an orbiter in the desert . 
142,beautiful white snow leopard side profile view with tribal headdress of peacock feathers and flowers detailed magical realism painting 4 k ,a painting of a white tiger with a flower on it 's head . 
143,"saitama, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",an illustration of a man in a white shirt . 
144,"fat hairy pigman crawling on all fours, sniffing the camera, fisheye lens!, oil painting, closeup!, high quality, 4 k ",a painting of a dog with big eyes . 
145,"a woman looking over her shoulder dramatically, fantasy character portrait by moebius ",an illustration of a woman and a creature . 
146,"aztec sun goddess steampunk armor brandishing a celestial staff, extremely detailed, high quality, epic, futuristic, octane render, beautiful, shimmering, deity leesha hannigan, ross tran, thierry doizon, kai carpenter, ignacio fernandez rios ",a woman dressed in a costume holding a spear . 
147,"space reflected in eye, fox's eye, stars, reflection of space, space, endless, vast, 8 k, nasa ",a close - up of the face of an animal . 
148,"whimsical mythical plankton sitting around a fire in a human body, dramatic lighting, trying to escape, surreal dark uncanny painting by ronny khalil ",an animated figure is sitting on a pile of debris . 
149,a shark eating a shop a mannequin ,mannequins in front of a clothing store window . 
150,"nebula explosion, multicolor color scheme, by jesper ejsing and peter mohrbacher and marc simonetti and brom and joseph christian leyendecker and james jean and james gurney and jean leon gerome, coloreful, highdetailed, drawing, line, oilpainting ",an oil painting of a sky filled with colorful clouds . 
151,"whale in the sky, dreamy beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ",two whales in the ocean with a cloudy sky in the background . 
152,"photograph of young steampunk orphan annie, city character portrait, in the style of moebius, tom bagshaw, and waterhouse, frecinematic lighting artstation, oil painting, ",a painting of a woman with a big curly hair . 
153,"dog, jump animation, keyframe!!!, video game sprite, water color, illustration, by beatrix potter and richard williams ",two brown dogs are playing with each other . 
154,photo of garden : 4 bioillumination ray tracing hdr : 2 in matte painting whimsical fairy wonderland vibrant colors candyland wonderland gouache swirls detailed : 2 by beatrix potter daniela uhlig and jamie hewlett : 6 ,an artistic painting of a garden with trees and flowers in the background . 
155,oil painting by albert bierstadt of a corgi on a cliff overlooking a river valley at dawn. ,a dog sitting on top of a hill next to a lake . 
156,"developers sitting in front of a screen, removing wordpress with a hammer ",a group of men sitting around a table . 
157,"dramatically lit, intricate fractal, ancient, weathered, mossy marble sculpture of a tortoise ",a turtle is sitting on the ground near some rocks . 
158,a portrait painting of roxie kownacki ,an older woman wearing glasses and wearing a necklace . 
159,"person walking inside a timeless bubble, streets of salvador brazil strangeness pastels black people trance keitai by kadir nelson edward hopper and james gilleard zdzislaw beksinski close up shot airbrush ilya kuvshinov detailed takato yamamoto james jean artstation ",a woman standing in front of a large hole . 
160,"textless, deep purple and gold bird logo, velvet, white and amethyst and gold colour scheme ",a yellow bird sitting on top of a branch . 
161,"photrealistic young sharon stone playing mara jade, film still, 8 k, hyper realistic, imax ",a beautiful woman with red hair and blue eyes . 
162,a scary image of a creepy old man wearing a mask ,a man wearing a skull mask with red eyes . 
163,"realistic photograph. imposingly tall, broadshouldered, jacked muscular woman. hair has white stripe!! mallen streak!! in hair over left ear! half black half arab. dark skin. face like kendall jenner, dark complexion. modest practical soft brown leather clothing! fully dressed. massively jacked physique, swole. in her 3 0's. ranger. female. clothed.",a woman with long black hair is posing for a picture . 
