,prompt,open_clip
61,"photo cartoon illustration comics manga painting of small sci - fi junkshop in a shipping container, sci - fi, cyberpunk, neon, steampunk, noir, fantasy, digital painting, unreal engine, 8 k, volumetric lighting, contrast ",an artist 's rendering of a street scene with buildings and street lights . 
62,cold brew latte ,a bottle of chocolate milk on top of a wooden board . 
63,"carnival performers, eerie, black and white photo, historic, realistic, highly detailed, 1 8 0 0 s ",a group of women dressed up in fancy costumes . 
64,"portrait of a male vampire warrior wearing torn black clothing, expertly fights barbarians at night under a blood red moon, the landscape is made of ancient decayed bones, dramatic, cinematic ",a black and white painting of a man in a black outfit . 
65,black red and gold baroque detailed filigree prosthetic warhammer concept art ,a painting of a black and gold wall hanging . 
66,bismuth ,an artistic rendering of a building made out of blocks . 
67,"a meeting of fantastic creatures dressed with clothes made of fluffy clouds, meeting in the temple of the unknown forces of quantum physics in a majestic garden with trees made of fluffy clouds, god rays, masterpiece painted by maxfield parrish, jc leyendecker and hopper, flemish baroque ",a group of people standing under a blue cloudy sky . 
68,"close up of a terrified pretty young woman with red blood stains on her face, wearing a magnificent emerald necklace, curled in a corner, panicked and crying, in a castle corridor. long chestnut hair. traumatized and frightened. green medieval ball gown. 4 k low angle photograph, lens focused on necklace, clear image ",a woman with green hair and green makeup . 
69,"bob barker, lovecraft scene, detailed portrait, 3 d, intricate details, by vincent di fate, artgerm, smooth gradients, octane render, 8 k, volumetric lightning, high contrast, depth of field, coherent face ",two people with masks on looking at a building . 
70,gorgous redhead woman by alessio albi ,a close up of a person with red hair 
71,"character and environment photography, portrait shamanistic infested 2 0 - year - old male barbarian, messy hair, old tattered robe, medium shot, wide angle, 2 0 0 px, full front, natural light ",a man with long brown hair and a feather headdress sitting on a blanket . 
72,"oil painting full body portrait of mean machine from 2 0 0 0 ad, tom lovell ",an oil painting of a space marine . 
73,tattoo of a lavish meal by tina blondell and alejandro obregon psychedelic and super detailed ,a close - up view of a tattoo on a body . 
74,"akira movie style, pastel color, futuristic, monster, brutality buildings, japanese oil painting, vaporwave, outrun, portrait ",a couple of people standing next to each other . 
75,"portrait of tropical fish swarming the coral reef. shadow and light. rays of light. energetic, dynamic, lively, detailed, intricate, complex. fine art by hayao miyazaki, akira toriyama, makoto shinkai, and ohara koson. studio lighting. tilt and shift lens. ",a group of yellow and orange fish swimming in the ocean . 
76,"astronauts emerged from inside and approached the lake, by john harris, watercolor, artstation - n 4 ",a painting of astronauts walking on the moon . 
77,"a anthropomorphic cat warrior, diffuse lighting, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, naturalism, trending on byron's - muse, by greg rutkowski and greg staples octopath traveler ",a cat dressed as a warrior holding a bow and arrow . 
78,written note with scribbles of spiders ,there is a pen and a pencil on the paper . 
79,"a fisheye lens portrait shot on full - frame camera of a beautiful woman, wide - angle close - up portrait with lens distortion, simon stalenhag, tim walker, harpers bazaar art fashion magazine vogue, cinematic lighting ",a red headed woman is in the middle of a forest . 
80,"a biomechanical duck, cybertronic, glowing eyes, octane render, spread out wings ",an animated duck with a glowing green eye . 
81,"foxes judging a cheese competition, furry, cute, disney zootopia, zootopia, concept art, artstation, detailed, award winning, dramatic lighting ",a group of foxes sitting at a table with food . 
82,"painting of an old man, appalachian folk art, detailed, award winning, 4 k ",an old man wearing a hat and a yellow shirt . 
83,"symmetry!! cancer!!!! a girl sitting on a chair with her hands on her lap. detailed analogue mixed media collage with canvas texture in the style of contemporary art complex, dramatic lighting, intricate, highly detailed, final fantasy, sharp focus, luminous, unreal engine 5 highly rendered, blender, deviant ",a woman sitting on a chair in front of a clock . 
84,"street photography by saul leiter, in a fancy clean alley, award winning photo of an ultra detailed intricate dirty vintage ford car speeding very fast on mud, fast shutter speed, motion blur, tiny gaussian blur, highly detailed, highly intricate, depth of field, trending on top gear ",an old car is driving down the street . 
85,"a biomechanical passion fruit flower, cybertronic ",a black and yellow fan with a bunch of bananas on it . 
86,die cut sticker of corgi golf player ,a close - up of a dog 's face on a green surface . 
87,"biomechanical emerald tree frog with red eyes inside a glass jar buried in sand, hourglass, intricate detail, himalayan rocksalt lamp, epic composition, hyper detailed, ultra realistic, octane render, volumetric, blue moon, sense of awe, swirling mist, 4 k, eica summilux 2 4 mm lens ",an aquarium with a fish inside of it . 
88,"a dark forrest with a path, sky full of stars and milkyway is viewable, mystical, art, burning, by victo ngai by james jean, by rossdraws, frank franzzeta, mcbess ",a person standing in a field of green bushes . 
89,"emma watson as wednesday addams, movie still, 8 k, ",a woman and a girl standing next to each other . 
90,"portrait of a dancing eagle woman, beautiful blonde haired lakota sioux goddess, intricate, highly detailed art by james jean, ray tracing, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm and greg rutkowski and alphonse mucha, 8 k ",a painting of a woman wearing a headdress . 
91,biomechanical vines growing through a skull ,an image of a skull that has a bunch of green tentacles coming out of it . 
92,"kodak portra 4 0 0, wetplate, flashlight, colour portrait by saul leiter of a tiny photoreal tin toy robot standing in a busy new york street, tiny gaussian blur, insanely detailed, insanely intricate, insanely beautiful, depth of field, sun, wide aperture, color photography ",a yellow traffic light sitting on the side of a road . 
93,"impressionist oil painting palette knife, grey british shorthair cat playing the piano, detailed 4 k ",a cat sitting on top of a piano keyboard . 
94,"renaissance demon costume, masked, feathers, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",a man wearing a metal mask with horns and red eyes . 
95,"cute fluffy white hybrid cat wolf creature character concept, flowers in background, detailed painting, 4 k ",a painting of a white dog laying in the grass next to pink flowers . 
96,"grand master flash surrounded by starlight, moon behind, chinese fantasy, intricate complexity, elegant, hyper detailed, ultra definition, photoreal, artstation, unreal engine rendered, concept art, smooth, sharp focus, illustration, art by artgerm and alphonse mucha and garis edelweiss ",a man in a hat is standing in front of a clock . 
97,"photo of shodan small sci - fi machine shop in a shipping container!!!, sci - fi, cyberpunk, neon lighting, noir, digital photography, intricate detail, unreal engine, 8 k, volumetric lighting, artstation sterile ",an empty room with a lot of lights on the ceiling . 
98,"a perfect nothing consuming all, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, thomas kinkade, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ",a painting of a lake at night with lights on . 
99,a vodka bottle with minimalistic flame fire designs in a plique - a - jour enameling technique ,a glass bottle with a flame on the side of it . 
100,a portrait painting of josef verd ,an oil painting of a man with a beard . 
101,"a comic panel of a teenage asian android pilot by otomo, by ellen jewett, hyperdetailed drawing, cybernetic scifi spacecraft cockpit, colors by moebius, high detail intricate, symmetrical - n 4 ",two panels of a space ship in the sky . 
102,"kneeling figure in on yellow pavement, painterly, interior of bus stop, peeling posters on wall, flowers and plants growing from figure, by lisa yuskavage, francis bacon, zdzislaw beksinski, james jean ",a person sitting on a chair in front of a painting . 
103,glamour photography of emilia clarke as a fitness model by annie leibovitz and frank frazetta ,a woman is in a black and white photo and a woman is in a black and white photo squatting . 
104,"concept art of a single ancient maple tree on the mountain, tiny leaves, fantasy, magical, epic scale, matte painting, cinematic, artstation, painted by craig mullins and albert bierstadt ",an artistic painting of a tree in the middle of a forest . 
105,"raven warrior. armored. foggy atmosphere. intricate, highly detailed digital painting by greg rutkowski. ",an artistic painting of a monster with a lot of teeth on it . 
106,"painted portrait of rugged zeus, god of thunder, greek god, white hair, masculine, mature, handsome, upper body, red and gold, muscular, hairy torso, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by greg rutkowski filip hodas ",a painting of an old man with a long white beard . 
107,a muscled warrior girl mounted on a large siberian tiger ,a woman in a bikini sitting on top of a tiger . 
108,"ian curtis, charcoal on brick ",a drawing of a young man with a mustache . 
109,centered microscopic cellular diatoms ,many different types of algae on a black background . 
110,"detailed symmetry!!, ( astronaut with purple closed visor ), deep inside space with small twinkling stars, by artgerm and charlie bowater and chris rallis, dark age aether punk style, global illumination, radiant light, god rays, bokeh, digital illustration, cg society, unreal engine 5, ray tracing ",an image of a person in a spacesuit 
111,"[ a [ vampiric ]! woman with pink hair and goth makeup! ]! posing in a [ medieval black dress ]!, standing in front of a [ blurred background ], trending on [ artstation ], fred arsenault, 4 k, contest winner, award winning, zbrush!, 3 d render, golden ratio, centered! ",a 3 d rendering of a woman in a black dress . 
112,feeling of being sunken below the depths of sea trending on artstation 4 k cgsociety contest winner award winning intricate detailed deep dark atmosphere underwater!! ,an image of an image of an image of an image of an image of an image of an image of an image of an image 
113,"kodak portra 4 0 0, muted colours, macro photo of a hillary clinton, kodachrome ",a close up of a person with their hands on their face . 
114,"medium close - up portrait of a frowning pirate in a pirate hat with short beard, concept art, medium realistic ",a pirate with a long beard wearing a black hat . 
115,"the matrix, 3 d shooter game ",a man in a black suit is holding a gun . 
116,"a jesus with mjolnir in hand an ultrafine detailed painting, detailed painting, detailed eyes!!, final fantasy octopath traveler lovecraft ghibly ",a painting of a man holding a sword and a shield . 
117,"a beautiful and highly detailed digital painting of an alien pyramid made of stone in the distance, a lush forest on an alien planet, psychedelic patterns, psychedelic plants and trees, intricate details, epic scale, 8 k, sharp focus, photorealism, artstation, cgsociety, by caspar friedrich, albert bierstadt, james gurney, alex grey, brian froud, ",an artistic picture of two pyramids in the middle of a jungle . 
118,donkey parliament realistic ,a group of donkeys standing next to each other in a field . 
119,"cute lizzard sleeping in a space station, fantasy, concept art, artstation, tyler edlin, feng zhu ",a lizard laying on top of an aquarium floor . 
120,"biohazard portrait of emma watson 2 0 0 7 steampunk clothes bioshock, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart ",a close up of a person wearing a jacket 
121,"screaming dynamism of languid god detailed and highly reliefed analogue mixed media collage with canvas texture in style of contemporary art, punk art, photorealistic, expressionism, minimalism. masterpiece, perfect composition, photorealistic beautiful face, spectacular quality, intricate details, shattered glass textures ",a painting of a woman 's face and mouth open . 
122,"portrait of mila kunis, gaston bussiere, j. c. leyendecker, craig mullins ",a painting of a beautiful woman in a brown dress . 
123,"a retrofuturistic anatomically correct cybertronic human heart, biomechanical, made of metal, reflective, octane render ",an abstract image of a metal object . 
124,"an profile portrait of an old grandpa werewolf, bioluminescent, horror, expressive, asymmetrical art, blue hour, highly detailed, concept art, cinematic, hyperrealism, epic, art by stanley lau and artgerm and agali villeneuvei and alphonse mucha, artstation, octane render, cgsociety ",an illustration of a werewolf with glowing red eyes . 
125,"nitrogen by m. c. escher, wu guanzhong. ink and wash painting, vibrant, calligraphy, woodblock, ink, geometric, 3 d. ",a black and white painting of a flock of birds . 
126,esrb rating with a pixel heart ,"a blue , red , white and orange background with squares and hearts . "
127,"concept art of translucent glowing curvy mermaid dancing, big booty, flowy, melting, round moon, swirly clouds, very detailed, volumetric light, mist, fine art, textured oil over canvas, dragons, epic fantasy art, very colorful, ornate intricate scales, gold skulls, fractal gems, 8 k, hyper realistic, high contrast ",a woman sitting on top of a green mermaid tail . 
128,plasticine emma watson dinosaur ,four different views of the same doll head . 
129,"3 d close - up portrait of the goddess face in midsommar style with ram skull mixed with jellyfish phoenix bird giant orchid flower and giant gladiola betta fish, intricate, elegant, surrounded by smoke and water energy flow. translucent nautilus, highly detailed, by wlop, tooth wu, greg rutkowski, alena aenami ",two women with purple and red hair and octopus hair . 
130,"a terrified and frightened beautiful young woman with big crimson red blood splotches on her face. curled in a corner weeping terror, in a castle corridor. wearing a magnificent intricate emerald necklace. long brown hair. wearing green medieval ball gown. 4 k low angle photograph, lens focused on necklace, clear image, detailed eyes ",a woman with red hair and green makeup . 
131,"the best abstract art, weird eyes, artstation hq, in style of simon c page ",an image of a woman 's face with a colorful background . 
132,"white and brown mothman female by greg rutkowski, insect face, creature, hybrid, bug, fur scarf, oil painting, realistic, detailed, creepy ",a painting of an insect with long legs . 
133,"portrait of beautiful cute tribal spirit white long haired tabby cat side profile view with long flowing fur and headdress of peacock feathers and flowers blowing in the wind, detailed painting, 4 k, magical realism ",a painting of a white cat with long white hair . 
134,"cute fluffy baby kitten rabbit hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a painting of a cat wearing a feather headdress . 
135,"a person in a white robe walking down a long hallway, a screenshot by john carpenter, tumblr, institutional critique, horror film, creepypasta, movie still ",a man in a white robe walking down a hall way . 
136,"a cyborg elephant made of metal in a large city, shiny, chrome, neon glowing eyes and tusks, cinematic lighting ",an elephant statue in the middle of a city . 
137,"crystal castle of miracles, beautiful landscape, environment, colors, cinematic, highly detailed, mid day, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, trending on artstation hd, 8 k, clear, sharp ",a painting of a forest with a lot of flowers . 
138,"a river of blood flows through the souls of men, mountains rise, and mountains fall, but communism lasts throughout it all, digital art, painting. robot soldiers line the shores ",a group of people standing next to each other . 
139,"fluorescent luminescent neon microbe, in the style of dan mumford, macro lens, shallow depth of field, highly detailed, digital painting, trending artstation, concept art, illustration, cinematic lighting, vibrant colors, photorealism, epic, octane render, giger ",an image of a green light that is glowing . 
140,"happy cyborg corgi with tongue out smiling with robot legs, digital art by pixar, kids book ",an orange robot with a big smile on its face . 
141,"teak warrior, armored, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",a painting of a man wearing a metal helmet . 
142,a wide shot angle of a tumultuous landscape made of multiversal portals trending on artstation rutkowski artgerm winkelmann wlop mucha artstation hd intricate cgsociety contest winner 3 2 k lively multiversal extraterrestrial sci - fi fantasy dark fantasy sci - fi art ,an artistic painting of a mountain range with a lot of rocks . 
143,"a sci - fi fi fi fi fi fi fi fi fi fi fi fi fi, a detailed matte painting by stephan martiniere, cgsociety, afrofuturism, matte painting, sci - fi, reimagined by industrial light and magic ",an artistic rendering of a futuristic city . 
144,"a brand logo of henry cavill as a catholic nun, stylized logo, flat, flat icon, logo concept art, brand identity, simple background ",a painting of a woman with a cross on it . 
145,"movie still from a toho film, cat - godzilla hybred, dark and moody, rain, wind, scary ",a black - and - white photo of a cloudy sky over a body of water . 
146,"a painting of a burning village by greg rutkowski and johfra bosschart, dark fantasy art, high detail, trending on artstation ",an artistic painting of a city on fire . 
147,barak obama playing badminton with donald trump wearing skirts ,a woman holding a racquet on top of a tennis court . 
148,a smiling old man wearing a vr headset in a dystopian science fiction future ,an older man wearing a pair of goggles . 
149,zeus the greek!! god of thunder!!! in flight wild rift hero champions arcane magic digital painting bioluminance alena aenami artworks in 4 k design by lois van baarle by sung choi by john kirby artgerm style pascal blanche and magali villeneuve mage fighter assassin gold blue color scheme ,a painting of a man with a sword in his hand . 
150,a rainbow - shelled turtle by aardman entertainment. trending. award - winning. featured. vivid colors. global lighting. ,a close - up of the head of a painted turtle . 
151,"the portrait of an beautiful, graceful, elegant, sensual soldier gril wearing white and black tactical gear, armor, armed, return from the battlefield, intricate, highly detailed, digital painting, artstation, glamor pose, portrait, smooth, sharp focus, japanese comics, concept art by wlop and greg rutkowski cinematic lighting ",a woman with a gun in her hand . 
152,"portrait of a woman wearing shiny white transparent leather suit, english face, refined features, moon goddess, long snow - white hair by jean gerome, edward hopper and james jean, hyper detail, 8 k, high resolution, ultra detailed ",a woman in a silver catsuit standing next to a wall . 
153,"complete figure of kiwi wearing an elegant blouse, personification, anthropomorphism, tsurime eyes, tareme eyes, eyes by kon satoshi, ^. ^ eyes, dynamic pose, amiami, aniplex, kotobukiya, beautiful composition, 4 5 mm lens, focal length 2, hdr ",a woman in a black dress is posing for a picture . 
154,beautiful tribal spirit wolf with long flowing colorful fur and feather headdress detailed painting 4 k ,a painting of a wolf wearing a headdress . 
155,"a plasticine model of a goblin raider, photograph, sharp focus, depth of field, cinematic lighting, inspired by ray harryhausen, ",there is a small toy of a creature 
156,"of a bright saturated muddy swamp with cute strange friendly creatures with huge mouths, eyes, long tongue and square teeth appearing from the ground, in the style of arakowa, macro lens, shallow depth of field, highly detailed, digital painting, trending artstation, concept art, illustration, cinematic lighting, vibrant colors, photorealism, epic, octane render ",an image of an alien creature in the middle of a field . 
157,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. ray tracing. oil and water colour based on high quality render. trending on artstation. ",a painting of an open field with mountains in the background . 
158,"3 d close - up coherent symmetrical aesthetic satanic goddess water waves human skull, beautiful detailed japanese crow kitsune mask and classical japanese kimono highly detailed. iridescent accents. by wlop, tooth wu, greg rutkowski, alena aenami, beeple, octane render, ultra realistic. high contrast. teal, gold, black, white ",a blue and white skull with gold horns . 
