,prompt,open_clip
26,"3 d close - up swirly neutron start god moebius strip physics giant gladiola ceramic glass!! betta fish! jellyfish phoenix fire energy flow, highly detailed. by wlop, tooth wu, greg rutkowski, alena aenami, beeple ",an abstract image of a fish in the water . 
27,"photo of futuristic cyberpunk geometric diamond subway station tunnel, diamond and black metallic dungeon aesthetic, cinematic lighting, photorealistic, octane render 8 k depth of field 3 d ",an image of an empty room with lights on the ceiling . 
28,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed artistic digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour based on high quality render. trending on artstation. ",an oil painting of trees in the middle of a field . 
29,"scottish landscape inside a steampunk glass jar hanging from a hot air balloon, intricate detail, hyper detailed, ultra realistic, sharp focus, octane render, lantern, volumetric, ray tracing, sense of awe, swirling mist, blue moon, 4 k ",an image of an image of a light in a jar . 
30,a man catching an angry whale on the end of his fishing rod cinematic 3 5 mm hyperrealistic ,a man holding a fishing rod while sitting on the side of a boat . 
31,"photoreal cyberpunk!!! portrait by nicola samori and russ mills, very intricate! worker wearing a black hoody, glittering light leaks, electromagnetic waves!, blue glowing aggressive led eyes, zbrush, greeble skin, octane render, colani design, cyberpunk, dystopia tokyo ",a man with a face covered in chains and nails . 
32,"cute fluffy kitten panda bunny hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of peacock feathers and flowers, detailed painting, three quarter profile view, renaissance, 4 k ",a painting of a cat with flowers in it 's hair . 
33,landscape of nantes in france oil painting ,a painting of a river with a bridge in the background . 
34,"a drawing by gustave dore of a deep sea crinoid. etching, lithograph ",a drawing of a plant with long stems . 
35,"a female demon reaper with a dark purple dress with extrem anger is standing in beautiful moonshine im front of a bloody hell, wlop 4 k, realistic concept art by aleksandra waliszewska, aoi ogata, greg rutkowski and nona limmen ",a painting of a person in a purple outfit holding a sword . 
36,"the essence of the chemical element hydrogen, by m. c. escher ",an intricate drawing of a black - and - white pattern of intersecting lines . 
37,"a green tree frog made of jello, shiny, glowing eyes, octane render ",a green frog sitting on top of a table . 
38,"low poly, pixar, un surreal hybrid animals, nostalgia for a fairytale, magic realism, flowerpunk, mysterious vivid colors by andy kehoe and amanda clarke en un mundo de gediminas pranckevicius, zdzisław beksinski y lisa frank ",a painting of a purple unicorn in a field of flowers . 
39,dreams by dali and atey ghailan ,an artist 's rendering of a person holding a knife in a bedroom . 
40,"spider made of labradorite, fantasy, highly detailed, digital matte painting, artstation, concept art, sharp focus, illustration ",a spider with a blue orb on it 's body . 
41,"sukuna from jujutsu kaisen, highly detailed, digital painting, fantasy, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",a man with a black jacket and red eyes . 
42,"a painting of a landscape with a red sky with a black rising moon, poster art by noah bradley, peter mohrbacher, behance contest winner, symbolism, darksynth, poster art, apocalypse art, hellish background ",a man standing on top of a mountain looking at the sun . 
43,"portrait of beautiful long haired fluffy white tabby striped wolf profile view with flowing fur blowing in the wind, wearing renaissance robes with lace collar and headdress with tribal peacock feathers and flowers, detailed painting 4 k ",a painting of a white dog with its mouth wide open . 
44,"cosmic horror cute fluffy grey tabby border collie and tan lop eared bunny rabbit hybrid mixed creature concept, with long flowing fur, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k lovecraft!! dark omnious atmosphere tentacles!! ",a painting of an animal with long ears . 
45,"a giant rock floating in the air, magical levitation, vegetation overgrowth, matte painting, cinematic, artstation, painted by craig mullins and albert bierstadt ",an artistic painting of a forest with trees and rocks . 
46,"the mad hatter from alice in wonderland at the dark carnival in hell, crazy, psychopathic, highly detailed, artstation, intricate, smooth, sharp focus, dark, horror, illustration, art by greg rutkowski and yuumei, good clear quality, lighting, biology, symmetrical artwork, perfect face, 1 3 5 mm, cinematic, hyper realism, high detail, octane",a drawing of a man wearing a top hat . 
47,oil painting by delacroix of a horse not at all frightened by a thunderstorm. ,a painting of a brown and white horse standing in a field . 
48,"[ [ art deco ] ] 1 9 2 0 metropolis art deco architecture fantasy by jama jurabaev greg rutkowski tyler edlin, james paick, emmanuel shiru, victor mosquera, intricate elegant retrofuturistic highly detailed, artstation [ cyberpunk ] ",an artistic rendering of a city with a lot of lights . 
49,"translucent cute pokemon like pet with cute eyes, dark colors smoke spiritual fantasy digital art by artgem, studio ghibli, clean cel - shaded vector art, style artstation, style greg rutkowski, octane render, unreal engine 6, epic game graphics, fantasy, conceptual art, ray tracing ",a bunch of different types of pokemon that are in the dark . 
50,happy male chubby strawberry blonde viking with short hair dancing around in meadow holding a bunch of flowers in the style of rutkowski ,a blurry image of a child holding a frisbee . 
51,"girl stands in a japanese street - poster by wlop, kiyohara tama, krenz cushart, masamune shirow, makoto shinkai, yanjun cheng. featured on pixiv, anime aesthetic, pixiv, anime, cold tones, artstation, power lines, vanitas, official art, gothic dark. noise film photo - up portrait h 7 0 4",an anime girl is standing in the middle of an alleyway . 
52,simple yellow hexagon beehive tattoo ,a woman has a tattoo on her arm . 
53,"a man playing an invisible cello to destroy demons, demons surround the man, spiritual emanations, resonating sound energy, roses, rain, cafe setting, beautiful classical ornament, framed, tarot card, immense landscape, alpay efe, wlop, alessio albi ",a man standing in front of a painting of a rose . 
54,"animation still frame of a puppy eating a bowl of spaghetti, high angle closeup portrait, blurry background of the library, disney, pixar, bloom, medium shot, dramatic lighting, in the style of studio ghibli, j. c. leyendecker, greg rutkowski, artgerm ",a cartoon of a dog eating a bowl of pasta . 
55,"milhouse van houten, hyperrealistic, volumetric golden dappled dynamic lighting, highly detailed, sharp focus, by victo ngai, artgerm ",an illustration of a man wearing glasses . 
56,manmadetexture pbr materials procedural tile patern substance photo game cg textures. com gametextures studio resource image handpaint ,a set of four stone tiles with different patterns . 
57,"jaden smith symmetric portrait as egyptian, front view, white tunic, meadow background, highly detailed, sharp focus, illustration, art by aleksi briclot, magali villeneuve, greg rutkowski, alfons mucha ",a painting of a man in a field . 
58,"portrait of a confident and mature looking northern blond lady in black bdsm leather mask, beautiful blue eyes and red lips, fit abs and body, art by artgerm and greg rutkowski and magali villeneuve, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, masterpiece ",a painting of a woman in a leather outfit . 
59,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour based on high quality render. ray tracing. beams. ",an image of an alien landscape with trees and rocks . 
60,self - portrait in the park ; giovanni boldini ; impressionism ; 1 9 2 1 ,a painting of a man sitting in the grass . 
61,"bismuth stellations by m. c. escher, endre rozsda, hilma af klint, wu guanzhong. ink and wash painting, calligraphy, vibrant, woodblock, ink, geometric, 3 d, cherenkov radiation. ",an abstract painting of a person and a bunch of stars . 
62,belgian shepherd malinoix playing in a punk rock group called ruin ,a german shepherd dog sitting in a field . 
63,portrait of andre the giant in the style of studio ghibi ,an oil painting of a man with curly black hair . 
64,"nordic mire, brown bear, scenic sunrise, hdr, photorealism, mist, enchanting scenery, nikon d 8 5 0, wide lens, sigma 5 5 ",the sun is setting over a mountain range with a body of water in the foreground . 
65,"eiffel tower in paris, art by artgerm and greg rutkowski and magali villeneuve, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration ",a painting of the eiffel tower at sunset . 
66,"only with red, a red faceless king, in a red throne room, a red majestic kingdom but decadent, many skeletons, in the style of beksinski, parts by edward hopper, parts by michael sowa, parts by yue minjun, intricate and mindblowing composition by bosch, red by caravaggio, high quality, high details, masterpiece, red light, artstation,",a painting of a skeleton with a bunch of blood on it . 
67,"photograph, bladerunner city at night, neon pink undertones, sidewalk view ",a city lit up at night with neon lights . 
68,picture of a 3 d rendered golden number 6 on a white background. small text saying 4 is at the bottom of the image. ,a group of yellow numbers on a black background . 
69,full body concept art of elizabeth olsen as scarlet witch holding [ magic in hands ]! symmetry!! golden ratio concept art!! trending on artstation 3 2 k trending on cgsociety intricate artstation hd artstation portraits cgsociety contest winner hd bright lovely atmosphere mucha winkelmann rutkowski wlop artgerm ,a painting of a woman in a red suit and a woman in a blue suit . 
70,surrealist painting of the colors blue and yellow fighting each other with exploding fists ,a blue and yellow painting with yellow paint swirling around it . 
71,"cute kawai young dragon lizard, league of legends hero, hearthstone character, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k ",a painting of a blue dragon with a yellow tail . 
72,"grainy vintage illustration of flash gordon drinking a coke in a public bathroom, newspaper advertisement ",a black and white illustration of a man holding a bottle of soda . 
73,"portrait of young gauchos wearing pilcha while walking in a verdant, verdurous brazilian steppe, intricate, very detailed, jodhpurs greg manchess painting by sargent and leyendecker, studio ghibli fantasy close - up shot asymmetrical intricate elegant matte painting illustration hearthstone, by greg rutkowski by greg tocchini by james gilleard ",a painting of a man on a horse with two cows . 
74,"alexandra daddario in mirrors, pretty face, close, cinematic moody colors, realistic shaded lighting, cinematic wallpaper by stanley artgerm lau ",a woman with blue eyes and long brown hair . 
75,henri rosseau. a jungle in the twilight sun. lots of colorful flowers and animals. a small pond with frogs. ,a painting of a forest with a pond in the foreground . 
76,"evil occult grimoire, painted cover laughing, 4 k ultra realistic detailed 8 k sensation of dread artstation trending dramatic lighting contrasting light and dark style photorealism cinematic magic colorful wonder by h. p. lovecraft elden ring ",an image of an evil looking green creature . 
77,"full - length impressionist portrait. an emo. short dark brown messy pixie haircut, large eyes, black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. ",a painting of a woman in a black dress . 
78,"cloth, white fabric coat, jodhpurs high black or brown lether boots and belts, fashion retro, elegant long hair brunette young girl, dark fantasy traveler, sunset light, geometrical low poly, dainty renaissance portrait by michael garmash, greg rutkowski, gaston bussiere, rhads, craig mullins ",a painting of a woman holding a pair of shears . 
79,"cute fluffy grey tabby border collie and tan lop eared bunny rabbit hybrid mixed creature character concept, with long flowing fur, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k lovecraft!! dark omnious atmosphere tentacles!! ",an illustration of a fluffy dog with pink ears . 
80,"a retro minimalistic fire flame warning caution label enamel pin, hd, concept art, artstation ",a red and black pin with a flame on it . 
81,"realistic portrait of an ethiopian knight in a byzantine mosaic, very detailed, very realistic, elegant, top art, renowed artwork ",a mosaic of a man with a crown on his head . 
82,the fool tarot by roberto matta ,an abstract painting of a man and a woman . 
83,"kodak portra 4 0 0, wetplate, muted colours, blueberry, 1 9 2 0 s style, long shot, macro photo of a colourful 1 9 2 0 s handsome chubby 1 6 yo bavarian cowherd girl posing in a beautiful flower meadow in the bavarian alps, mountain panorama, motion blur, tiny gaussian blur, depth of field ",a man in a field of flowers wearing a hat . 
84,back view of a woman war hero standing before an erupting volcano cinematic theatrical lighting dramatism anton fadeev greg rutkowski intricate 3 2 k trending on artstation cgsociety contest winner award winning golden ratio centered minutia details ,two women standing in front of a volcano . 
85,a panicked woman in a corridor wearing a green ball gown and emerald necklace. blood stains on her face. terrified look. long chestnut hair. photograph by vittorio matteo corcos ,a black and white photo of a woman and a child . 
86,"a painting of a japanese demon by kentaro miura, inking, high detail, trending on artstation ",an ink drawing of an evil looking creature . 
87,"collision of [ earth and mars ]!!, view from space!!, trending on artstation!!, astrophotography!!, contest winner, award winning, sharp, intricate, detailed, digital art, 4 k, cinematic still, theatrical atmosphere, sci - fi art, dark fantasy, wide screen, wide angle ",an image of a red planet with a sun in the background . 
88,bloodborne kart ,two men in black robes holding a sword and umbrella . 
89,"beautiful landscape, beauty, ornate robe. fractal bells, rule of thirds. intricate environment, art by victo ngai, rossdraws, thomas kinkade, ilya kuvshinov, peter mohrbacher, craig mullins. unreal engine 5, blender, octane, ray tracing, dramatic studio lighting, sharp focus, masterpiece, post processing ",two people are standing in the middle of a forest . 
90,"[ full - body portrait of a man ]! with a disdain, exacerbated facial expression, wearing a [ white robe ]!, trending on [ artstation ]!, digital art, cgsociety contest winner, [ symmetrical ]!, golden ratio!, award winning, bioluminescent colors, volumetric lighting, afrofuturism ",a man in a white robe standing in front of an angel . 
91,"landscape by piotr jabłonski, artstation, ultra detailed, 8 k ",a painting of a stream in the middle of a forest . 
92,"figurativism tasteful portrait of a young dude 1 9 years old, with lemon ",a painting of a young man with two lemons . 
93,"rick sanchez in lab suit, face to camera walking in a field. france, dordogne, hills, ultra high, face to camera, detail, 8 k, sunset, flowers, trees, river, hills, octane render. ",an old man in a field of red flowers . 
94,futuristic robot alien invasion award winning pixar movie poster ,an image of a robot and some other cartoon characters . 
95,"highly detailed interior rendering of a beautiful luxurious house, unreal engine, by peter guthrie ",a large room with two large windows in it . 
96,"a sad tiny cute chipmunk inside a prison cell behind bars, big eyes, cute face ",a close up of a small animal in a cage . 
97,"a biomechanical raspberry made of metal, reflective ",a close - up of a metal object on a table . 
98,"cyberpunk coral alucard, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",an image of a woman with headphones and a gun . 
99,"long distance shot of a tiny cute polar bear on a tiny iceberg in the middle of the ocean, sunset, atmospheric, hazy ",a polar bear standing on top of an ice floe . 
