,prompt,open_clip
14,"alchemical weapon wielder, monumental painting by gerrit van honthorst and hajime sorayama and edward hopper, illusion surreal art, highly conceptual figurative art, intricate detailed oil illustration, controversial poster art, polish poster art 1 9 8 0 ",a blurry picture of a person standing in front of an orange wall . 
15,"award - winning ultrafine detailed painting of a propane cylinder by julian schnabel and john chamberlain, tonalism, oil on canvas, surrealist painting, behance, academic art ",a yellow gas tank sitting on top of a white surface . 
16,"tattoo of a weeping ugly bald pigman creature, 4 k ",a black and grey tattoo of a gorilla wearing a hat . 
17,"full body character, if kratos and agent 4 7 had a baby, trending on artstation, digital painting, nendroid, anime, disney, pixar, 8 k, hd, dof, kodak film, volumetric lighting, subsurface scattering, photorealistic, octane render, extreme details ",a cartoon character in a suit and tie holding a gun . 
18,"portrait of ciri as a samurai assassin, ross tran, artgerm, artstation, underwater aura, fantasy, splatter, lois van baarle ",a woman holding a sword in her hand . 
19,"a renaissance portrait of will ferrell and john c. reilly, art in the style of rembrandt!! intricate. ultra detailed, oil on canvas, wet - on - wet technique, pay attention to facial details, highly realistic, cinematic lightning, intricate textures, illusionistic detail, ",a painting of two men in renaissance garb . 
20,photo of elon musk eating a bunch of melted messy chocolate meat balls on the witness stand in a courtroom drama ,a man wearing a suit and tie eating a brownie . 
21,"beautiful landscape, beauty, rule of thirds. intricate environment, art by victo ngai, rossdraws, by thomas kinkade and ilya kuvshinov and peter mohrbacher, by craig mullins. unreal engine 5, blender, octane, ray tracing, dramatic studio lighting, sharp focus, masterpiece, post processing ",a painting of two people walking down a path . 
22,"a painting of a woman in a dress surrounded by flowers, a storybook illustration by anna dittmann, deviantart contest winner, preraphaelite art, dress made of flowers, whimsical ",a painting of a woman in a field of flowers . 
23,"emo by annie leibovitz. short dark brown messy pixie haircut, large black eyes!!!, antichrist eyes, slightly rounded face, pointed chin, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. ",a woman wearing a leather harness and a black top . 
24,"full - length portrait by john singer sargent. maximalist detail and composition. emo. short dark brown messy pixie haircut, large black eyes!!!, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. ",a woman in a long black dress standing in front of a white wall . 
25,"super mad demon girl, with!! demon horns on her head!! and extrem anger, there's very much blood on her, also in the background is a beautiful graveyard which is burning in dark red colors, also there is a thunderstorm, cinematic concept horror art, high detail picture by aleksandra waliszewska, aoi ogata, greg rutkowski and nona",a demonic looking woman holding a knife in a graveyard . 
26,"painting of teri garr, ultra realistic, sharp details, sensual, subsurface scattering, intricate details, warm lighting, beautiful features, highly detailed, photorealistic, octane render, unreal engine, art by artgerm and greg rutkowski and alphonse mucha ",a blurry image of a woman with her hands on her chest . 
27,"ivory skin anya taylor - joy emma watson, nuragic princess, symmetrical front view, long blond braided hair, white dress with golden embroideries, highly detailed, sharp focus, illustration, art by aleksi briclot, magali villeneuve, greg rutkowski, alphonse mucha ",a painting of a woman with long braids . 
28,"portrait of haribo bear in future city, color and shape focus, central composition, natural light, bloom, puff, by simon stalenha ",two giant teddy bears sitting next to each other in front of a brick building . 
29,"a flag that features a white magnolia blossom surrounded by the words in god we trust and 2 1 stars, on a red field with a gold - bordered blue canadian pale. ",a red and white flower on the side of a building . 
30,"cyberpunk coral cowboy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",an image of a man with a helmet on . 
31,"a frontal drawing of a beautiful young girl with a third eye centered with a dark blue background and colorful clouds with stars by takashi murakami, beeple and james jean, aya takano color style, trippy, 8 k, super detailed, night sky, digital art, digital painting, clean ",a painting of a woman with a third eye on her head . 
32,art deco 1 9 2 0 floating illuminating parasol metropolis optimistic colorful sunny clear day parks trees flowers clear focus [ [ minimalist brutalist skyscrapers ] ] [ art deco motifs ] cinematic lighting fantasy by ross tran greg rutkowski elegant retro futuristic highly detailed artstation ,an image of a very tall building in the city . 
33,"sandwalwood emperor, highly detailed, portrait, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",a painting of a man in a gold outfit . 
34,"photo manga illustration comics painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, artstation ",an artist 's rendering of a kitchen in an industrial setting . 
35,"close up of a horrified young woman with long brown hair. wearing an intricate emerald necklace and medieval green ball gown. big blood splashes on her face. in tears in the corner of a castle. long hazelnut hair. 4 k low angle professional photograph, clear image, lens focused on face. ",a young woman with green eyes and a bunch of hair . 
36,a portrait painting of emily liao ,an oil painting of a young woman in a white t - shirt . 
37,"cyberpunk mermaid, desktop background, path traced, highly detailed, high quality, digital painting, by studio ghibli, lise deharme, alexander jansson, paul lehr, tim white, hans zatzka, george stubbs, louis wain, alphonse mucha ",a blurry picture of a colorful background . 
38,surrealism closeup of a eyeball with many pupils by benoit b. mandelbrot ,a blue light is shining in the middle of a circle . stock fotó - 1 0 0 0 9 0 0 9 0 
39,"a well - lit, realistic portrait oil painting of a thoughtful young, shy, redheaded irish alicia vikander petting a kitten, in moss - covered ruins, highly detailed, intricate, concept art, artstation, by donato giancola, ron cobb, and artgerm ",a woman sitting on the ground holding a cat . 
40,"surrealist painting of blue and yellow figures fighting each other with exploding fists, with a light pink background ",a painting of two blue men fighting each other . 
41,"grumpy border collie sitting in a bar, fantasy, concept art, artstation, disney, pixar, dreamworks, anime, tyler edlin, feng zhu, thomas karpi ",a dog sitting on top of a wooden table . 
42,"a decal papper cutout of girl bard in red dress, fantasy, dungeons and dragons, an ultrafine detailed painting, detailed painting, boris valejo. octopath traveler ",a woman in a red dress holding a key . 
43,"ultra realistic illustration, doja cat as an elf, d & d, league of legends, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha ",a woman with a white fur hat and gold armor . 
44,"a portrait of girl bard in pink dress, fantasy, dungeons and dragons, an ultrafine detailed painting, chibi, detailed painting, boris valejo. octopath traveler decal!!! ",a girl with long pink hair holding a knife . 
45,"poster artwork, [ young ] emma watson as hermione granger 2 0 0 7, medium shot, details, sharp focus, illustration, by jordan grimmer and alphonse mucha and greg rutkowski and pine ( ハイネ ) and 薯 子 imoko and 香 川 悠 作 and maya takamura, intricate, beautiful, trending on art",a painting of a young girl holding a wand . 
46,famous tank man photo ,a large group of people wearing helmets in a field . 
47,"hyperrealism, night background rain, 3 / 4 profile portrait of a goddess, jellyfish skull phoenix crow wings, artwork by tooth wu and wlop. octane render, trending on artstation, greg rutkowski cinematic, hyper realism, high detail, octane render, 8 k ",a woman 's face is turned upside - down with a red light coming out of it 's head . 
48,screenshot of an [ orange that [ has legs ]!! ]! walking on a sidewalk trending on unsplash surreal unusual strange 4 k photorealism 3 2 k intricate unsplash weird unsplash hd unsplash hq unsplash creatures unsplash animals ,a person walking down a street with an orange . 
49,"oil painting head and torso portrait of huge grendel, by norman rockwell, jack kirby, alex ross, bergey, zdzislaw beksinski, ruan jia, jeremy mann, tom lovell, 5 0 s science fiction, pulp scifi fantasy marvel illustration ",an evil looking clown with a soccer ball in front of him . 
50,"portrait of gundam mech, human - sized, japanese town scenery, damaged walls, bullet damage on concrete, detailed mech armour, illustration concept art anime key visual trending pixiv fanbox by wlop and greg rutkowski and makoto shinkai and studio ghibli and kyoto animation, symmetrical body, detailed armour ",an illustration of a giant robot in the sky . 
51,"cute cthulhus sitting in a bar, fantasy, concept art, artstation, disney, pixar, dreamworks, anime, tyler edlin, feng zhu, thomas karpi ",an image of an octopus sitting at a bar 
52,"pyroclastic cloud, comic panel, intricate detail, highly realistic, ",a painting of a mountain range with clouds in the background . 
53,"the oligarchs have got away with it, oil on canvas. ",an oil painting of a group of men in suits and ties . 
54,"3 d close - up swirly cat!!!! moebius strip physics giant gladiola ceramic glass!! betta fish!! jellyfish phoenix fire energy flow, highly detailed. by wlop, tooth wu, greg rutkowski, alena aenami, beeple ",an image of a blurry picture of a person 
55,"pregnant [ grimes ]!!, trending on cgsociety, contest winner, award winning, illustrated by rajmund kanelba, polycount, d & d, tarot, detailed digital art, storybook illustration ",a blurry picture of a person standing in front of a building . 
56,"impressionism, futurism, surrealism, art nouveau, expressionism ",an abstract painting of a woman holding a bow and arrow . 
57,"a portrait painting of smiling princess leia carrie fisher hybrid oil painting, gentle expression, smiling, elegant clothing, scenic background, behance hd, by jeremy pitkin, alphonse mucha, greg rutkowski, tim hildebrandt, boris vallejo ",a painting of princess leia from star wars . 
58,"a biomechanical hibiscus flower made of metal, reflective octane render ",a purple and black flower with a ball inside of it . 
59,"elegant portrait of a whale deep under water by ohara koson and hokusai and thomas kinkade and audubon society and national geographic. overlaid with aizome texture, realistic, cinema 4 d, grainy and rough, aesthetically pleasing, based on high quality render. ray tracing. ",an illustration of a whale swimming in the ocean . 
60,"handsome demon, highly detailed, digital painting, fantasy, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",an illustration of a demon with red eyes . 
61,"an ultradetailed landscape painting of hurricane harvy over houston, looming ominous over a city, hurricane, lighting, tornados, intricate detail, cinematic, 8 k, cel shaded, volumetric lighting, octane render, art by greg rutkowski, jeong seon, in the style of magic the gathering ",an oil painting of a city in the middle of a storm . 
62,"an industrial factory with smoke stacks shaped like mushrooms, smoke billowing from underneath the caps, smoggy yellow hue, highly detailed, artstation ",an oil refinery with smoke billowing out of its stacks . 
63,"a leprechaun wearing overauls kissing the mermaid ariel on the beach. the sun is setting in the background, bathing the scene in beautiful golden light. ",a man and a woman kissing on the beach . 
64,"european woodcut of a wooden sailing vessel on a stormy, turbulent sea maelstrom on a moonlit night. high quality art. light and shadow. ",a black - and - white drawing of a sailboat in the ocean . 
65,"kodak portra 4 0 0 portrait by paolo roversi of a dystopian woman like basalt statue in a scenic dystopian environment, hair floating in air, intricate, elegant, highly detailed, digital art, artstation, concept art, smooth, sharp focus, tomasz alen kopera, peter mohrbacher, donato giancola, tonal colors ",a woman with very long hair and very big hair . 
66,impressionism technological lightning bolt countryside ,a painting of a field with lightning in the sky . 
67,portrait of enzo amore ,a man with tattoos and a beard is posing for a picture . 
68,"strange microscopic creatures sitting around in a human stomach, trying to escape, surreal dark uncanny painting by ronny khalil ",an image of an alien in the middle of the night . 
69,oil painting by georgia o'keefe of a llama. ,a painting of an animal in a field . 
70,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, noir, digital painting, intricate detail, unreal engine, 8 k, volumetric lighting, octane render octane render octane render ",a painting of an industrial setting with people working in it . 
71,"earth 3 0 1 5, beautiful landscape, environment, colors, film, dramatic, cinematic, highly detailed, mid day, large scale, hyperrealistic, realistic lighting, octane render, by wlop, artgerm, trending on artstation, hd, 8 k, clear, sharp ",an image of an image of a mountain landscape . 
72,"the fate of all fools and divine intervention, pencil drawing on top of oil paint and canvas ",a painting of a man and two other men . 
73,"cthulhu, noir, artstation deviantart artfol artslant artbox cgsociety gfxartist artful zatista artpal instagram blendernation frank stella ",an image of an octopus with green eyes . 
74,"a studio shot dwarven old lady paladin braided!!! red hair!!! an ultrafine detailed painting, detailed painting, detailed eyes!!, final fantasy octopath traveler lovecraft ghibly ",a woman with a sword in her hands . 
75,"the king in yellow chef in a kitchen, by josan gonzalez splash art graphic design color splash high contrasting art, fantasy, highly detailed, art by greg rutkowski ",a man with a beard is holding something in his hands . 
76,"closeup profile medieval jan van eyck face portrait of tin toy greta thunbergs as buzz lightyear in a 1 9 5 0 s diner, nicoletta ceccoli, mark ryden, lostfish, max fleischer, depth of field, detailed and intricate environment, 8 k resolution, hyperrealistic, octane render ",a close - up of a toy robot and a toy girl . 
77,"inuyasha, glorious, in the style of artgerm and charlie bowater and atey ghailan and mike mignola, epic lighting, vibrant colors and hard shadows and strong rim light, very coherent, comic cover art, plain background, trending on artstation ",a group of people standing next to each other . 
78,"olivia thirlby, beautiful cyborg, art by greg rutkowski and artgerm and ilya kuvshinov, portrait, long white hair, alita battle angel, scifi, highly detailed, digital painting, cinematic, trending on artstation, concept art, sharp focus, illustration ",a woman with a helmet on her head . 
79,"bank rubbery, where is my money, die hard, blackmail, gun to head,, upper body, blockbuster, killer, extremely detailed digital video, trending artstation concept art sharp focus, ",a bunch of people that are holding guns in their hands . 
80,"cute miss mascot limaspeed limaspeed accelgor pokemon sticker art, cronobreaker, beeple game icon ",a blue and yellow sticker is sitting on a table . 
81,"portrait of a medieval warrior chelsea wolfe, goth punk, floral flowers, rainbow colors, surreal, a flemish baroque by alexander mcqueen, art by john collier by greg rutkowski and craig mullins, oil on canvas ",a woman with flowers in her hair and a man with flowers in her head . 
82,back view of a woman standing on a rock looking down into the vast floral alien geography trending on artstation wlop artgerm greg rutkwoski gaston bussiere alphonse mucha 3 2 k 1 6 k resolution dark grim lively beautiful good charismatic ,a blurry image of a person standing in a room . 
83,"a portrait painting of a buck in suit sitting on a sofa near a window, by john singer sargent, stag, deer ",a painting of a man in a suit with a deer in the background . 
84,"a woman smoking a cigarette with a pink background, a character portrait, trending on behance, poster art, digital illustration, vector art, pop art ",an illustration of a woman smoking an electronic cigarette . 
85,"a room of retro and vintage items, groovy 7 0 s, abstract art deco furnature, highly detailed digital painting, concept art by yongfei liu, alben tan, vance kocas, octane rendered, low angle, god rays, cg society, unreal engine ",an empty living room with chairs and a table . 
86,artwork by justin margitich ,an old man with a beard and a white shirt . 
87,colorful luminous blue green purple jellyfish translucent detailed painting 4 k - n 4 ,a painting of a jellyfish in a room . 
88,"cute ninjacat sleeping in a space station pod. babymouse is watching him, fantasy, concept art, artstation, tyler edlin, feng zhu, thomas karpi ",an illustration of a cat sitting in front of a spaceship . 
89,chun li sketch by chris sanders ,a woman in a blue top is flexing her muscles . 
90,magical girl manga panel by kentaro miura ,a drawing of a woman with black hair and a pink bow on her head . 
91,"aztec pocketwatch steampunk owl inside a glass jar buried in sand, intricate detail, volumetric lighting, epic composition, hyper detailed, ultra realistic, sharp focus, octane render, volumetric, blue moon, ray tracing, sense of awe, swirling mist, himalayan rocksalt lamp, 4 k ",an image of a jar with a clock inside of it . 
92,"painting of siouxie sioux, ultra realistic, sharp details, sensual, subsurface scattering, intricate details, warm lighting, beautiful features, highly detailed, photorealistic, octane render, unreal engine, art by artgerm and greg rutkowski and alphonse mucha ",a woman with long black hair wearing a black dress . 
93,"a enthusiasm smart asian male magician of legendary character, spot light, performance stages, symmetrical, maximalist, cg animation, riot entertainment, esoteric, realistic, super detailed, masterpiece character select portrait, artgerm, anna dittmann, ilya kuvshinov, loish, drew struzan, charlie bowater, 3 d ",a painting of an asian man wearing a suit . 
94,"a terrified and frightened beautiful young woman with big crimson blood splotches on her face. curled in a corner weeping terror, in a castle corridor. wearing a magnificent intricate emerald necklace. long brown hair. green and red medieval ball gown. 4 k low angle photograph, lens focused on necklace, clear image, detailed eyes ",a woman with green makeup and a red necklace . 
95,"official royal portrait photograph of bella hadid, member of royalty, duchess, edwardian photograph, 1 9 0 0, 1 8 9 0 s, late victorian, elegant, graceful, historic photograph, high quality, slightly faded, hyper - realistic, soft blur ",a woman wearing a tiara and a necklace . 
96,"biohazard a portrait of border collie berserk barbarian an ultrafine detailed painting, detailed painting, detailed eyes!!, final fantasy octopath traveler lovecraft ghibly ",a painting of a black and white dog with a knife in its mouth . 
97,evil cat in the style of bound video game ,a black and white cat with green eyes . 
98,"! dream jurassic park : : movie still : : blue bmw m 5 wagon : : t - rex : : f 8 aperture, cinematic eastman 5 3 8 4 film ",a blue car is parked on the side of the road . 
99,"march of the pigs, painting by greg rutkowski and anders zorn and jeremy mann, gritty, highly detailed, 8 k, high quality ",a herd of sheep walking across a muddy road . 
100,mysterious robot bull wearing armor walks through boss lair. megalomaniacal expression. cyberpunk scene by ralph mcquarrie and beksinski r / characterart ,an image of a robot in the middle of a city . 
101,"3 d portrait of a biomechanical cyborg by tony diterlizzi, tim burton, hr giger, ilford hp 5, 5 5 mm, machinecore by artgerm, 3 d render, gothcore, beeple, joseph leyendecker, carlo carra ",an image of a robot woman with a lot of wires . 
102,"vfx color film closeup, apex legends irl, titanfall irl, low - key lighting award winning photography arri alexa cinematography, hyper real photorealistic cinematic beautiful, atmospheric ",a group of robots that are in the air . 
103,"portrait photo still of a spooky victorian witch holding a lantern, wearing a witches hat, in front of an old cemetery on fire at night, 8 k, 8 5 mm f 1. 8 ",a person standing in front of a fire in a graveyard . 
104,"the spirit of hydrogen, by m. c. escher ",an abstract drawing of a bunch of boats in the water . 
105,"a portrait photo of a beautiful female android, 8 k, unreal engine, trending on artstation, ",a blurry picture of a woman with a mask on . 
106,"a man with an hourglass instead of a head, octane render, peter mohrbacher, denis sarazhin, beeple, greg rutkowski, tomasz alen kopera, vibrant colors, highly detailed, dramatic lighting, 8 k, trending on artstation, very coherent ",an image of a man standing on top of an object . 
107,burning man in gatsby roaring twenties style by denis villeneuve tom anders zorn hans dragan bibin thoma greg rutkowski ismail inceoglu alphonse mucha ,a group of people in fancy dress posing for a picture . 
108,"a gauguinesque, impressionist painting of a woman sitting in the grass in a field by henri de toulouse - lautrec, flickr contest winner, post - impressionism, impressionism, fauvism, studio portrait ",a woman sitting on the grass wearing a hat . 
109,"cyberpunk coral goddess, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ",a woman with pink hair is wearing a red helmet . 
110,"a painting of a eclipse!!!. the silhouette of a man in the water, red sky, by jeffrey smith, behance contest winner, symbolism, darksynth, poster art, apocalypse art, hellish background ",a man sitting in a body of water looking at an eye . 
111,https : / / cdn. shopify. com / s / files / 1 / 0 9 9 8 / 1 8 6 6 / products / dsc _ 1 1 2 4 - copy _ 7 2 0 x @ 2 x. jpg? v = 1 4 5 7 6 3 8 1 3 2 iridescent pineapple on pink background ,a close up of a pineapple on a pink background . 
112,"an alien pyramid on an otherworldly planet, psychedelic patterns, celtic designs, intricate details, epic scale, hyperdetailed, hyperrealism,, artstation, cgsociety, 8 k, sharp focus, by caspar friedrich, albert bierstadt, james gurney ",an image of a group of pyramids in the desert . 
113,"a robot coding, on screen old video game shown ",a computer screen with a computer game character on it . 
114,1 1 0 0 0 1 1 0 0 1 0 1 1 0 1 1 1 0 0 0 1 1 1 1 0 1 1 0 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 1 0 1 0 1,a man smiling while leaning against a brick wall . 
115,a photo of a anteater head on a grizzly bear body ,a close - up of a brown bear 's face in a grassy field . 
116,"a portrait of a beautiful woman with a neon butterfly covering her face head, cult secret society art by james paick, and shaddy safadi, ominous, cosmic magic, trending on artstation, ultra detailed, hyper realistic 4 k, octane, cinema 4 d, c 4 d render ",a woman 's face in neon colors with a piercing on her nose . 
117,"a brain with multiple eyeballs peaking out between the folds, creepy atmosphere, zdzisław beksinski ",an image of an evil looking eye in the middle of the night . 
118,industrial mushroom smoke stacks ,three smokestacks spewing smoke into the air . 
119,tentacles reaching thru the void of space and time ,an illustration of a circle made out of many strands of yarn . 
120,"a digital fine art painting of a grain field at sunset, a detailed matte painting by vincent van gogh and claude monet and thomas kinkade and bob ross. paint spatters, paint drips, paint stippling, paint dribble, paint speckling. dry brush and wet brush. rich texture, rich vivid color. ",an oil painting of an open field with trees in the background . 
121,"an ape painting a monalisa by greg rutkowski and thomas kinkade, trending on artstation, 3 d render octane ",a chimpanzee sitting on the ground in front of a castle . 
122,"beautiful elegant majestic fluffy giraffe cheetah lion hybrid mixed creature character concept, with long flowing fur blowing in the wind, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k ",a painting of a lion wearing feathers and a flower crown . 
123,"a biomechanical cybertronic frog made of metal, large glowing eyes, futuristic, national geographic photography ",a green frog with blue eyes sitting on top of a black surface . 
124,"a biomechanical rusty skeleton sticking out of a pile of rubble, cybertronic, beams of sunlight ",a skeleton sitting in the middle of a pile of rubble . 
125,"kodak portra 4 0 0, wetplate, muted colours, teal and orange, 1 9 3 0 s style, award winning portrait of space age colour print design on canvas in the style of britt marling ",an orange and green abstract painting on a blue background . 
126,"vivaldi juditha triumphans r 6 4 4 masterpiece ultrarealistic ultradetailed painting of catholic veiled lady beside rotten fruit, still life, greg rutkowski, immerse, slime, 1 9 th century, special effects makeup, maximalist, glittering, gold, ivory, hyperreal, golden ratio, alphonse mucha ",a painting of a woman holding an apple . 
127,grimes performing live on stage trending on pinterest volumetric lighting neon subsurface scattering bioluminescent colors 4 k hd intricate detailed macro view lens distortion exposure lens flare colorful electric colors portrait ,a person with long hair and a microphone in their mouth . 
128,jenna coleman as supergirl ,a woman dressed as supergirl standing in front of stairs . 
129,skyrim screenshot of blackreach cave ,an image of an image of an image of an image of an image of an image of an image of an image of an image of an 
130,"close up of a heavily bloodied horrified pretty young woman. long hazelnut wavy hair. wearing an intricate emerald! necklace! and medieval green ball gown. curled up in tears in the corner of a castle corridor. long hazelnut hair. 4 k low angle professional photograph, clear image, lens focused on face, detailed eyes. ",a woman with long brown hair wearing a white face paint . 
131,"metallic cyborg emerald tree frog made of jello, intense red glowing eyes, futuristic, octane render ",a close - up of a red - eyed tree frog . 
132,"a vibrant emotional animation key shot of cute xenomorphic alien rodent, studio ghibli, pixar and disney animation, sharp, disney concept art watercolor illustration by shinji kimura and alphonse mucha and alena aenami, pastel color palette, bloom!!, dramatic lighting ",an artistic drawing of an octopus with tentacles . 
133,"skeleton astronaut, art by artgerm and greg rutkowski and magali villeneuve, portrait, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration ",a painting of a skeleton in a spacesuit . 
134,"modifier, caspar david friedrich ",a man standing on top of a hill next to a cliff . 
135,donald trump inspecting cheese at a cheese factory ,a man in a white suit and a white hat . 
136,"electric guitar, super high detail, super high quality, talented artist, trending on artstation ",an electric guitar and a bass guitar are side by side on a brown background . 
137,"realistic photograph. imposingly tall, broadshouldered, jacked muscular woman. hair has white stripe mallen streak in hair over left ear. half black half arab. dark skin. face like kendall jenner, dark complexion. modest practical soft brown leather clothing. fully dressed. massively jacked physique, swole. in her 3 0's. ranger. female. clothed. ",a woman with long black hair posing for a picture . 
138,"heavilly armored dwarven woman, intricate braided hair, thick plate mail, big nose, short and plump figure, soft lighting, cinematic, proud and strong woman, sharp focus, highly detailed, smooth, dungeons and dragons, lord of the rings, dragon age, masterwork illustration by jeff easley, blue rimlights ",a painting of a woman in armor holding a sword . 
139,"interior view overlooking a giant gargantuan wild crazy beautiful art museum, located in aspen colorado, bright colored buildings ",a room filled with lots of yellow walls and lots of windows . 
140,"a powerful human deity in their celestial domain, highly detailed, dramatic lighting, dnd, sharp focus, by mark arian, bob byerley, jeffrey catherine jones ",a painting of a man with a long white robe on a red background . 
141,photorealistic image of [ a horse with [ front quarters of an eagle ]!! ]! and [ hind quarters of a horse ]! trending on unsplash contest winner award winning 4 k intricate 8 k resolution balmy tender energetic photorealistic fullbody artstation hybrid cgsociety hybrid artstation crossbreed cgsociety crossbreed ,a horse standing in a grassy field with long black hair . 
142,"a portrait of the mri brain damage demon, digital art by dan mumford and peter mohrbacher, highly detailed, trending on deviantarthq ",an image of an image that is blurry . 
143,delicious hazelnut donut with chocolate glazing with a cup of coffee ,a couple of donuts are on a wooden board . 
144,"ad for the new mcspaghettis, spaghettis by mcdonald's. product photograph ",a plate of noodles with sauce on top of it . 
145,"a small ocean full of life, studio lighting, golden ratio, details, masterpiece, fine art, intricate, decadent, ornate, highly detailed, digital painting, octane render, ray tracing reflections, 8 k, artstation, concept art, smooth, sharp focus, illustration, art by claude monet and vincent van gogh and van eyck ",a sailboat in the middle of the ocean under a cloudy sky . 
146,an sem photo of a corgi ,a close up of a dog 's face with a tongue hanging out . 
147,"photo cartoon illustration painting of small sci - fi machine shop in a shipping container, sci - fi, cyberpunk, neon lighting, neon noir, fantasy, digital photography, intricate detail, unreal engine, 8 k, volumetric lighting, cell shader ",an artist 's rendering of an industrial setting with neon lighting . 
148,"a beautiful close - up of of a blond german man. high cheekbones. good bone structure. dressed in 1 9 4 0 s style., art by herb ritts, highly detailed, fine art, high detail, great lighting, 8 k resolution, masterpiece, clear eyes, soft lighting, hdr, 4 k, 8 k, hd ",black and white close up of a man 's face . 
149,"a hedgehog in a canoe on water, professional photography, low angle camera, depth of field, focus ",an animal is sitting in a canoe on the water . 
